model,lang,mean,std,count,sem
gpt-oss-20b,ar,0.6960334029227557,0.9687498764012673,2395,0.019795154750019812
gpt-oss-20b,ar_word,0.47056367432150314,0.9587731341355186,2395,0.019591292884472842
gpt-oss-20b,eng,0.6643006263048017,0.9789125177660352,2395,0.020002815223982243
gpt-oss-20b,eng_word,0.592887029288703,0.9554494578971859,2390,0.01954378911921669
gpt-oss-20b,fr,0.7081419624217119,0.9653545739895084,2395,0.019725776122676338
gpt-oss-20b,fr_word,0.39248704663212436,0.9919157507594192,1544,0.025243591201820945
gpt-oss-20b,he,0.6359081419624217,0.9730091599309947,2395,0.019882187717609315
gpt-oss-20b,he_word,0.45142487046632124,1.0177799997337589,1544,0.025901819007307928
gpt-oss-20b,hi,0.6363256784968685,0.9556234795887663,2395,0.019526933754545853
gpt-oss-20b,hi_word,0.38262322472848787,0.9849509345972625,2394,0.020130405515468842
gpt-oss-20b,raw,0.6106010016694491,0.9456395334184816,2396,0.019318891935814566
gpt-oss-20b,ru,0.7231732776617954,0.9628573901874913,2395,0.019674749391211034
gpt-oss-20b,ru_word,0.42171189979123175,0.933474519667442,2395,0.019074348314407956
gpt-oss-20b,sw,0.6112734864300626,0.9774174485770917,2395,0.01997226541264491
gpt-oss-20b,sw_word,0.3582463465553236,0.9665725981918837,2395,0.019750664876897247
gpt-oss-20b,th,0.7607515657620042,0.9559886097022177,2395,0.01953439471766516
gpt-oss-20b,th_word,0.49269311064718163,0.9691615306264736,2395,0.019803566373380974
gpt-oss-20b,vi,0.7465553235908142,0.9744349264177345,2395,0.019911321417576587
gpt-oss-20b,vi_word,0.4810020876826722,0.9568566251438548,2395,0.019552131494114045
gpt-oss-20b,zh,0.6467640918580376,0.9692779572665052,2395,0.019805945401665356
gpt-oss-20b,zh_word,0.37484329293773505,0.9858458090027478,2393,0.020152904422864024
llama3-8b-instruct,ar,0.8521920668058455,1.0032686745186317,2395,0.020500501885708
llama3-8b-instruct,ar_word,0.7394572025052192,0.9927517797643352,2395,0.020285602700456658
llama3-8b-instruct,eng,1.0338204592901878,1.0178565580494152,2395,0.020798586478028007
llama3-8b-instruct,eng_word,0.7302713987473904,0.9659524030416102,2395,0.019737991988596625
llama3-8b-instruct,fr,0.8638830897703549,1.0148492089893328,2395,0.02073713517725179
llama3-8b-instruct,fr_word,0.5715210355987055,1.0250574751882646,1545,0.026078582111467574
llama3-8b-instruct,he,0.9010438413361169,1.0172996900193962,2395,0.020787207597784414
llama3-8b-instruct,he_word,0.6459546925566343,0.9991373276483615,1545,0.02541914523858728
llama3-8b-instruct,hi,0.7127348643006263,0.9958899637087011,2395,0.020349727443412517
llama3-8b-instruct,hi_word,0.5757828810020876,0.9905559494614211,2395,0.020240733739221344
llama3-8b-instruct,raw,0.7824634655532359,0.9873179676461601,2395,0.020174569755439534
