group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|he,gpt-oss-20b|he_corrected,0.0922,0.089,-0.0052,0.1896,False
gpt-oss-20b|he,gpt-oss-20b|th,0.1248,0.0011,0.0275,0.2222,True
gpt-oss-20b|he,gpt-oss-20b|th_corrected,0.0321,0.9999,-0.078,0.1421,False
gpt-oss-20b|he,gpt-oss-20b|vi,0.1106,0.0092,0.0133,0.208,True
gpt-oss-20b|he,gpt-oss-20b|vi_corrected,0.1177,0.0033,0.0204,0.2151,True
gpt-oss-20b|he,llama3-8b-instruct|he,0.2651,0.0,0.1678,0.3625,True
gpt-oss-20b|he,llama3-8b-instruct|he_corrected,0.0489,0.9567,-0.0485,0.1462,False
gpt-oss-20b|he,llama3-8b-instruct|th,0.2418,0.0,0.1444,0.3391,True
gpt-oss-20b|he,llama3-8b-instruct|th_corrected,0.2459,0.0,0.1485,0.3433,True
gpt-oss-20b|he,llama3-8b-instruct|vi,0.2054,0.0,0.108,0.3028,True
gpt-oss-20b|he,llama3-8b-instruct|vi_corrected,0.2033,0.0,0.106,0.3007,True
gpt-oss-20b|he,qwen3-32b-v1|he,0.3148,0.0,0.2174,0.4122,True
gpt-oss-20b|he,qwen3-32b-v1|he_corrected,0.3223,0.0,0.225,0.4197,True
gpt-oss-20b|he,qwen3-32b-v1|th,0.3273,0.0,0.23,0.4247,True
gpt-oss-20b|he,qwen3-32b-v1|th_corrected,0.2819,0.0,0.1719,0.3919,True
gpt-oss-20b|he,qwen3-32b-v1|vi,0.2931,0.0,0.1957,0.3905,True
gpt-oss-20b|he,qwen3-32b-v1|vi_corrected,0.2631,0.0,0.1532,0.3731,True
gpt-oss-20b|he_corrected,gpt-oss-20b|th,0.0327,0.9995,-0.0647,0.1301,False
gpt-oss-20b|he_corrected,gpt-oss-20b|th_corrected,-0.0601,0.9101,-0.1701,0.0499,False
gpt-oss-20b|he_corrected,gpt-oss-20b|vi,0.0185,1.0,-0.0789,0.1159,False
gpt-oss-20b|he_corrected,gpt-oss-20b|vi_corrected,0.0256,1.0,-0.0718,0.123,False
gpt-oss-20b|he_corrected,llama3-8b-instruct|he,0.173,0.0,0.0756,0.2704,True
gpt-oss-20b|he_corrected,llama3-8b-instruct|he_corrected,-0.0433,0.9868,-0.1407,0.0541,False
gpt-oss-20b|he_corrected,llama3-8b-instruct|th,0.1496,0.0,0.0522,0.247,True
gpt-oss-20b|he_corrected,llama3-8b-instruct|th_corrected,0.1538,0.0,0.0564,0.2512,True
gpt-oss-20b|he_corrected,llama3-8b-instruct|vi,0.1133,0.0063,0.0159,0.2107,True
gpt-oss-20b|he_corrected,llama3-8b-instruct|vi_corrected,0.1112,0.0085,0.0138,0.2086,True
