group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|ar_first,gpt-oss-20b|eng_first,-0.2154,0.0,-0.3232,-0.1076,True
gpt-oss-20b|ar_first,gpt-oss-20b|fr_first,-0.0445,0.9996,-0.1524,0.0633,False
gpt-oss-20b|ar_first,gpt-oss-20b|ga_first,-0.1156,0.0187,-0.2234,-0.0078,True
gpt-oss-20b|ar_first,gpt-oss-20b|he_first,0.0287,1.0,-0.0791,0.1365,False
gpt-oss-20b|ar_first,gpt-oss-20b|raw,-0.2617,0.0,-0.3695,-0.1539,True
gpt-oss-20b|ar_first,gpt-oss-20b|ru_first,-0.0047,1.0,-0.1125,0.1031,False
gpt-oss-20b|ar_first,gpt-oss-20b|sw_first,-0.1135,0.0248,-0.2213,-0.0057,True
gpt-oss-20b|ar_first,gpt-oss-20b|th_first,-0.1066,0.0574,-0.2145,0.0012,False
gpt-oss-20b|ar_first,gpt-oss-20b|vi_first,0.0056,1.0,-0.1022,0.1134,False
gpt-oss-20b|ar_first,llama3-8b-instruct|ar_first,-0.1332,0.0014,-0.241,-0.0254,True
gpt-oss-20b|ar_first,llama3-8b-instruct|eng_first,0.7182,0.0,0.6104,0.826,True
gpt-oss-20b|ar_first,llama3-8b-instruct|fr_first,-0.1182,0.0132,-0.226,-0.0104,True
gpt-oss-20b|ar_first,llama3-8b-instruct|ga_first,-0.5002,0.0,-0.608,-0.3924,True
gpt-oss-20b|ar_first,llama3-8b-instruct|he_first,-0.0578,0.9776,-0.1656,0.05,False
gpt-oss-20b|ar_first,llama3-8b-instruct|raw,-0.1024,0.0925,-0.2102,0.0055,False
gpt-oss-20b|ar_first,llama3-8b-instruct|ru_first,-0.0792,0.5832,-0.187,0.0286,False
gpt-oss-20b|ar_first,llama3-8b-instruct|sw_first,-0.8137,0.0,-0.9215,-0.7059,True
gpt-oss-20b|ar_first,llama3-8b-instruct|th_first,-0.143,0.0003,-0.2509,-0.0352,True
gpt-oss-20b|ar_first,llama3-8b-instruct|vi_first,-0.3495,0.0,-0.4573,-0.2417,True
gpt-oss-20b|ar_first,qwen3-32b-v1|ar_first,0.0976,0.1496,-0.0102,0.2055,False
gpt-oss-20b|ar_first,qwen3-32b-v1|eng_first,0.0137,1.0,-0.0941,0.1215,False
gpt-oss-20b|ar_first,qwen3-32b-v1|fr_first,-0.0368,1.0,-0.1446,0.071,False
gpt-oss-20b|ar_first,qwen3-32b-v1|ga_first,-0.0882,0.3347,-0.196,0.0196,False
gpt-oss-20b|ar_first,qwen3-32b-v1|he_first,0.045,0.9996,-0.0628,0.1528,False
gpt-oss-20b|ar_first,qwen3-32b-v1|raw,-0.0899,0.2939,-0.1977,0.0179,False
gpt-oss-20b|ar_first,qwen3-32b-v1|ru_first,0.0154,1.0,-0.0924,0.1232,False
gpt-oss-20b|ar_first,qwen3-32b-v1|sw_first,-0.1225,0.0072,-0.2303,-0.0147,True
gpt-oss-20b|ar_first,qwen3-32b-v1|th_first,0.0642,0.9221,-0.0436,0.1721,False
gpt-oss-20b|ar_first,qwen3-32b-v1|vi_first,0.0612,0.9542,-0.0466,0.1691,False
gpt-oss-20b|eng_first,gpt-oss-20b|fr_first,0.1709,0.0,0.0631,0.2787,True
gpt-oss-20b|eng_first,gpt-oss-20b|ga_first,0.0998,0.121,-0.008,0.2076,False
gpt-oss-20b|eng_first,gpt-oss-20b|he_first,0.2441,0.0,0.1363,0.3519,True
gpt-oss-20b|eng_first,gpt-oss-20b|raw,-0.0463,0.9993,-0.1541,0.0616,False
gpt-oss-20b|eng_first,gpt-oss-20b|ru_first,0.2107,0.0,0.1029,0.3185,True
gpt-oss-20b|eng_first,gpt-oss-20b|sw_first,0.1019,0.0969,-0.0059,0.2097,False
gpt-oss-20b|eng_first,gpt-oss-20b|th_first,0.1088,0.0446,0.001,0.2166,True
gpt-oss-20b|eng_first,gpt-oss-20b|vi_first,0.221,0.0,0.1132,0.3288,True
gpt-oss-20b|eng_first,llama3-8b-instruct|ar_first,0.0822,0.4965,-0.0256,0.19,False
gpt-oss-20b|eng_first,llama3-8b-instruct|eng_first,0.9336,0.0,0.8258,1.0414,True
gpt-oss-20b|eng_first,llama3-8b-instruct|fr_first,0.0972,0.1559,-0.0106,0.205,False
gpt-oss-20b|eng_first,llama3-8b-instruct|ga_first,-0.2848,0.0,-0.3926,-0.177,True
gpt-oss-20b|eng_first,llama3-8b-instruct|he_first,0.1576,0.0,0.0498,0.2654,True
gpt-oss-20b|eng_first,llama3-8b-instruct|raw,0.1131,0.0262,0.0052,0.2209,True
gpt-oss-20b|eng_first,llama3-8b-instruct|ru_first,0.1362,0.0009,0.0284,0.244,True
gpt-oss-20b|eng_first,llama3-8b-instruct|sw_first,-0.5983,0.0,-0.7061,-0.4905,True
gpt-oss-20b|eng_first,llama3-8b-instruct|th_first,0.0724,0.7696,-0.0354,0.1802,False
gpt-oss-20b|eng_first,llama3-8b-instruct|vi_first,-0.134,0.0012,-0.2419,-0.0262,True
gpt-oss-20b|eng_first,qwen3-32b-v1|ar_first,0.3131,0.0,0.2052,0.4209,True
