group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|ar,gpt-oss-20b|ar_instruct,-0.0257,1.0,-0.1323,0.0809,False
gpt-oss-20b|ar,gpt-oss-20b|eng,-0.0322,1.0,-0.1388,0.0744,False
gpt-oss-20b|ar,gpt-oss-20b|eng_instruct,1.2175,0.0,1.1108,1.3243,True
gpt-oss-20b|ar,gpt-oss-20b|fr,0.0117,1.0,-0.0949,0.1183,False
gpt-oss-20b|ar,gpt-oss-20b|fr_instruct,0.1326,0.0111,0.026,0.2392,True
gpt-oss-20b|ar,gpt-oss-20b|ga,-0.0824,0.9005,-0.189,0.0242,False
gpt-oss-20b|ar,gpt-oss-20b|ga_instruct,-0.177,0.0,-0.2836,-0.0704,True
gpt-oss-20b|ar,gpt-oss-20b|he,-0.0598,0.9999,-0.1664,0.0468,False
gpt-oss-20b|ar,gpt-oss-20b|he_instruct,0.1182,0.0788,0.0112,0.2252,True
gpt-oss-20b|ar,gpt-oss-20b|hi,-0.0594,0.9999,-0.166,0.0472,False
gpt-oss-20b|ar,gpt-oss-20b|hi_instruct,-0.0133,1.0,-0.12,0.0935,False
gpt-oss-20b|ar,gpt-oss-20b|raw,-0.0854,0.8447,-0.192,0.0212,False
gpt-oss-20b|ar,gpt-oss-20b|ru,0.0272,1.0,-0.0794,0.1338,False
gpt-oss-20b|ar,gpt-oss-20b|ru_instruct,0.3699,0.0,0.2633,0.4765,True
gpt-oss-20b|ar,gpt-oss-20b|sw,-0.0858,0.8355,-0.1924,0.0208,False
gpt-oss-20b|ar,gpt-oss-20b|sw_instruct,-0.3043,0.0,-0.4109,-0.1977,True
gpt-oss-20b|ar,gpt-oss-20b|th,0.0644,0.9993,-0.0422,0.171,False
gpt-oss-20b|ar,gpt-oss-20b|vi,0.0502,1.0,-0.0564,0.1568,False
gpt-oss-20b|ar,gpt-oss-20b|vi_instruct,0.1335,0.0098,0.0269,0.2401,True
gpt-oss-20b|ar,gpt-oss-20b|zh,-0.0498,1.0,-0.1564,0.0568,False
gpt-oss-20b|ar,gpt-oss-20b|zh_instruct,-0.0159,1.0,-0.1225,0.0907,False
gpt-oss-20b|ar,llama3-8b-instruct|ar,0.1544,0.0003,0.0478,0.261,True
gpt-oss-20b|ar,llama3-8b-instruct|ar_instruct,0.8264,0.0,0.7198,0.933,True
gpt-oss-20b|ar,llama3-8b-instruct|eng,0.3364,0.0,0.2298,0.443,True
gpt-oss-20b|ar,llama3-8b-instruct|eng_instruct,0.9213,0.0,0.8147,1.0279,True
gpt-oss-20b|ar,llama3-8b-instruct|fr,0.1661,0.0,0.0595,0.2727,True
gpt-oss-20b|ar,llama3-8b-instruct|fr_instruct,1.064,0.0,0.9574,1.1706,True
gpt-oss-20b|ar,llama3-8b-instruct|ga,0.1105,0.1738,0.0039,0.2171,True
gpt-oss-20b|ar,llama3-8b-instruct|ga_instruct,-0.1983,0.0,-0.3049,-0.0917,True
gpt-oss-20b|ar,llama3-8b-instruct|he,0.2029,0.0,0.0963,0.3095,True
gpt-oss-20b|ar,llama3-8b-instruct|he_instruct,0.6854,0.0,0.5788,0.792,True
gpt-oss-20b|ar,llama3-8b-instruct|hi,0.0155,1.0,-0.0911,0.1221,False
gpt-oss-20b|ar,llama3-8b-instruct|hi_instruct,0.913,0.0,0.8064,1.0196,True
gpt-oss-20b|ar,llama3-8b-instruct|raw,0.0849,0.8536,-0.0217,0.1915,False
gpt-oss-20b|ar,llama3-8b-instruct|ru,0.1854,0.0,0.0788,0.292,True
gpt-oss-20b|ar,llama3-8b-instruct|ru_instruct,1.2138,0.0,1.1072,1.3204,True
gpt-oss-20b|ar,llama3-8b-instruct|sw,0.0548,1.0,-0.0518,0.1614,False
gpt-oss-20b|ar,llama3-8b-instruct|sw_instruct,0.3849,0.0,0.2783,0.4915,True
gpt-oss-20b|ar,llama3-8b-instruct|th,0.1808,0.0,0.0742,0.2873,True
gpt-oss-20b|ar,llama3-8b-instruct|th_instruct,0.6749,0.0,0.5683,0.7815,True
gpt-oss-20b|ar,llama3-8b-instruct|vi,0.1435,0.0021,0.0369,0.2501,True
gpt-oss-20b|ar,llama3-8b-instruct|vi_instruct,1.0879,0.0,0.9813,1.1945,True
gpt-oss-20b|ar,llama3-8b-instruct|zh,0.0126,1.0,-0.094,0.1191,False
gpt-oss-20b|ar,llama3-8b-instruct|zh_instruct,1.1209,0.0,1.0143,1.2275,True
gpt-oss-20b|ar,qwen3-32b-v1|ar,0.2452,0.0,0.1386,0.3518,True
gpt-oss-20b|ar,qwen3-32b-v1|ar_instruct,0.7824,0.0,0.6758,0.889,True
gpt-oss-20b|ar,qwen3-32b-v1|eng,0.2828,0.0,0.1762,0.3894,True
gpt-oss-20b|ar,qwen3-32b-v1|eng_instruct,0.8506,0.0,0.744,0.9572,True
gpt-oss-20b|ar,qwen3-32b-v1|fr,0.2117,0.0,0.1051,0.3183,True
gpt-oss-20b|ar,qwen3-32b-v1|fr_instruct,0.9619,0.0,0.8553,1.0685,True
gpt-oss-20b|ar,qwen3-32b-v1|ga,0.1305,0.015,0.0239,0.2371,True
gpt-oss-20b|ar,qwen3-32b-v1|ga_instruct,0.2531,0.0,0.1465,0.3597,True
gpt-oss-20b|ar,qwen3-32b-v1|he,0.254,0.0,0.1474,0.3606,True
gpt-oss-20b|ar,qwen3-32b-v1|he_instruct,0.728,0.0,0.6214,0.8346,True
gpt-oss-20b|ar,qwen3-32b-v1|hi,0.2444,0.0,0.1378,0.3509,True
gpt-oss-20b|ar,qwen3-32b-v1|hi_instruct,0.3163,0.0,0.2097,0.4229,True
gpt-oss-20b|ar,qwen3-32b-v1|raw,0.0874,0.7959,-0.0191,0.194,False
