group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|ar,gpt-oss-20b|ar_corrected,0.0364,1.0,-0.2933,0.3662,False
gpt-oss-20b|ar,gpt-oss-20b|he,0.1752,0.9616,-0.1545,0.505,False
gpt-oss-20b|ar,gpt-oss-20b|he_corrected,0.0255,1.0,-0.3043,0.3552,False
gpt-oss-20b|ar,gpt-oss-20b|th,0.0644,1.0,-0.2654,0.3942,False
gpt-oss-20b|ar,gpt-oss-20b|th_corrected,-0.0313,1.0,-0.361,0.2985,False
gpt-oss-20b|ar,gpt-oss-20b|vi,0.048,1.0,-0.2817,0.3778,False
gpt-oss-20b|ar,gpt-oss-20b|vi_corrected,0.0555,1.0,-0.2743,0.3852,False
gpt-oss-20b|ar,llama3-8b-instruct|ar,0.1591,0.9875,-0.1707,0.4889,False
gpt-oss-20b|ar,llama3-8b-instruct|ar_corrected,0.1678,0.9763,-0.162,0.4975,False
gpt-oss-20b|ar,llama3-8b-instruct|he,0.2047,0.8366,-0.1251,0.5344,False
gpt-oss-20b|ar,llama3-8b-instruct|he_corrected,0.1944,0.8936,-0.1353,0.5242,False
gpt-oss-20b|ar,llama3-8b-instruct|th,0.1832,0.9391,-0.1465,0.513,False
gpt-oss-20b|ar,llama3-8b-instruct|th_corrected,0.1874,0.9242,-0.1424,0.5171,False
gpt-oss-20b|ar,llama3-8b-instruct|vi,0.1455,0.9962,-0.1843,0.4752,False
gpt-oss-20b|ar,llama3-8b-instruct|vi_corrected,0.1424,0.9971,-0.1874,0.4721,False
gpt-oss-20b|ar,qwen3-32b-v1|ar,0.2514,0.4542,-0.0784,0.5811,False
gpt-oss-20b|ar,qwen3-32b-v1|ar_corrected,0.251,0.4577,-0.0788,0.5807,False
gpt-oss-20b|ar,qwen3-32b-v1|he,0.2567,0.4094,-0.0731,0.5864,False
gpt-oss-20b|ar,qwen3-32b-v1|he_corrected,0.2442,0.517,-0.0856,0.574,False
gpt-oss-20b|ar,qwen3-32b-v1|th,0.2655,0.3386,-0.0642,0.5953,False
gpt-oss-20b|ar,qwen3-32b-v1|th_corrected,0.2168,0.7516,-0.1129,0.5466,False
gpt-oss-20b|ar,qwen3-32b-v1|vi,0.2332,0.6148,-0.0966,0.5629,False
gpt-oss-20b|ar,qwen3-32b-v1|vi_corrected,0.1962,0.8845,-0.1335,0.526,False
gpt-oss-20b|ar_corrected,gpt-oss-20b|he,0.1388,0.998,-0.191,0.4685,False
gpt-oss-20b|ar_corrected,gpt-oss-20b|he_corrected,-0.011,1.0,-0.3407,0.3188,False
gpt-oss-20b|ar_corrected,gpt-oss-20b|th,0.028,1.0,-0.3018,0.3577,False
gpt-oss-20b|ar_corrected,gpt-oss-20b|th_corrected,-0.0677,1.0,-0.3975,0.2621,False
gpt-oss-20b|ar_corrected,gpt-oss-20b|vi,0.0116,1.0,-0.3182,0.3414,False
gpt-oss-20b|ar_corrected,gpt-oss-20b|vi_corrected,0.019,1.0,-0.3107,0.3488,False
gpt-oss-20b|ar_corrected,llama3-8b-instruct|ar,0.1227,0.9997,-0.2071,0.4524,False
gpt-oss-20b|ar_corrected,llama3-8b-instruct|ar_corrected,0.1313,0.9991,-0.1984,0.4611,False
gpt-oss-20b|ar_corrected,llama3-8b-instruct|he,0.1682,0.9756,-0.1615,0.498,False
gpt-oss-20b|ar_corrected,llama3-8b-instruct|he_corrected,0.158,0.9886,-0.1718,0.4877,False
gpt-oss-20b|ar_corrected,llama3-8b-instruct|th,0.1468,0.9956,-0.183,0.4765,False
gpt-oss-20b|ar_corrected,llama3-8b-instruct|th_corrected,0.1509,0.9937,-0.1788,0.4807,False
gpt-oss-20b|ar_corrected,llama3-8b-instruct|vi,0.109,1.0,-0.2207,0.4388,False
gpt-oss-20b|ar_corrected,llama3-8b-instruct|vi_corrected,0.1059,1.0,-0.2238,0.4357,False
gpt-oss-20b|ar_corrected,qwen3-32b-v1|ar,0.2149,0.7658,-0.1148,0.5447,False
gpt-oss-20b|ar_corrected,qwen3-32b-v1|ar_corrected,0.2145,0.7689,-0.1152,0.5443,False
gpt-oss-20b|ar_corrected,qwen3-32b-v1|he,0.2202,0.7246,-0.1095,0.55,False
