model_filter,model,base_lang,label_lang,avg_bleu,avg_mean_diff
gpt,gpt-oss-20b,ar,ar,0.23285501176470588,0.5653483992467043
gpt,gpt-oss-20b,fr,fr,0.5152518352941177,0.5713747645951036
gpt,gpt-oss-20b,ga,ga,0.08394387878787879,0.40941619585687383
gpt,gpt-oss-20b,he,he,0.2295873411764706,0.5657250470809793
gpt,gpt-oss-20b,hi,hi,0.4049956588235294,0.4971751412429379
gpt,gpt-oss-20b,ru,ru,0.2932298823529412,0.5887005649717514
gpt,gpt-oss-20b,sw,sw,0.16325851923076926,0.4406779661016949
gpt,gpt-oss-20b,th,th,0.05720356470588234,0.5755178907721281
gpt,gpt-oss-20b,vi,vi,0.2151766470588235,0.5981167608286252
gpt,gpt-oss-20b,zh,zh,0.2565279764705882,0.5212806026365349
