group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|ar,gpt-oss-20b|eng,-0.0149,1.0,-0.1135,0.0837,False
gpt-oss-20b|ar,gpt-oss-20b|fr,0.0061,1.0,-0.0925,0.1047,False
gpt-oss-20b|ar,gpt-oss-20b|ga,-0.1553,0.0,-0.2538,-0.0567,True
gpt-oss-20b|ar,gpt-oss-20b|he,0.0008,1.0,-0.0978,0.0993,False
gpt-oss-20b|ar,gpt-oss-20b|raw,-0.1759,0.0,-0.2745,-0.0773,True
gpt-oss-20b|ar,gpt-oss-20b|ru,0.021,1.0,-0.0775,0.1196,False
gpt-oss-20b|ar,gpt-oss-20b|sw,-0.127,0.0006,-0.2255,-0.0284,True
gpt-oss-20b|ar,gpt-oss-20b|th,0.0107,1.0,-0.0879,0.1093,False
gpt-oss-20b|ar,gpt-oss-20b|vi,0.0325,1.0,-0.0661,0.1311,False
gpt-oss-20b|ar,llama3-8b-instruct|ar,0.2776,0.0,0.179,0.3762,True
gpt-oss-20b|ar,llama3-8b-instruct|eng,0.4581,0.0,0.3595,0.5567,True
gpt-oss-20b|ar,llama3-8b-instruct|fr,0.2769,0.0,0.1783,0.3754,True
gpt-oss-20b|ar,llama3-8b-instruct|ga,0.2034,0.0,0.1049,0.302,True
gpt-oss-20b|ar,llama3-8b-instruct|he,0.2906,0.0,0.1921,0.3892,True
gpt-oss-20b|ar,llama3-8b-instruct|raw,0.1897,0.0,0.0911,0.2883,True
gpt-oss-20b|ar,llama3-8b-instruct|ru,0.2834,0.0,0.1848,0.3819,True
gpt-oss-20b|ar,llama3-8b-instruct|sw,0.1751,0.0,0.0766,0.2737,True
gpt-oss-20b|ar,llama3-8b-instruct|th,0.2876,0.0,0.189,0.3862,True
gpt-oss-20b|ar,llama3-8b-instruct|vi,0.2589,0.0,0.1603,0.3575,True
gpt-oss-20b|ar,qwen3-32b-v1|ar,0.2375,0.0,0.1389,0.3361,True
gpt-oss-20b|ar,qwen3-32b-v1|eng,0.3602,0.0,0.2617,0.4588,True
gpt-oss-20b|ar,qwen3-32b-v1|fr,0.2493,0.0,0.1508,0.3479,True
gpt-oss-20b|ar,qwen3-32b-v1|ga,0.1369,0.0001,0.0383,0.2355,True
gpt-oss-20b|ar,qwen3-32b-v1|he,0.2516,0.0,0.153,0.3502,True
gpt-oss-20b|ar,qwen3-32b-v1|raw,0.0952,0.0762,-0.0034,0.1938,False
gpt-oss-20b|ar,qwen3-32b-v1|ru,0.2627,0.0,0.1641,0.3613,True
gpt-oss-20b|ar,qwen3-32b-v1|sw,0.1384,0.0001,0.0399,0.237,True
gpt-oss-20b|ar,qwen3-32b-v1|th,0.2627,0.0,0.1641,0.3613,True
gpt-oss-20b|ar,qwen3-32b-v1|vi,0.265,0.0,0.1664,0.3636,True
gpt-oss-20b|eng,gpt-oss-20b|fr,0.021,1.0,-0.0775,0.1196,False
gpt-oss-20b|eng,gpt-oss-20b|ga,-0.1403,0.0,-0.2389,-0.0418,True
gpt-oss-20b|eng,gpt-oss-20b|he,0.0157,1.0,-0.0829,0.1143,False
gpt-oss-20b|eng,gpt-oss-20b|raw,-0.161,0.0,-0.2596,-0.0624,True
gpt-oss-20b|eng,gpt-oss-20b|ru,0.0359,1.0,-0.0626,0.1345,False
gpt-oss-20b|eng,gpt-oss-20b|sw,-0.112,0.0072,-0.2106,-0.0135,True
gpt-oss-20b|eng,gpt-oss-20b|th,0.0256,1.0,-0.073,0.1242,False
gpt-oss-20b|eng,gpt-oss-20b|vi,0.0474,0.9952,-0.0512,0.146,False
gpt-oss-20b|eng,llama3-8b-instruct|ar,0.2925,0.0,0.194,0.3911,True
gpt-oss-20b|eng,llama3-8b-instruct|eng,0.473,0.0,0.3745,0.5716,True
gpt-oss-20b|eng,llama3-8b-instruct|fr,0.2918,0.0,0.1932,0.3904,True
gpt-oss-20b|eng,llama3-8b-instruct|ga,0.2184,0.0,0.1198,0.3169,True
gpt-oss-20b|eng,llama3-8b-instruct|he,0.3055,0.0,0.207,0.4041,True
gpt-oss-20b|eng,llama3-8b-instruct|raw,0.2046,0.0,0.106,0.3032,True
gpt-oss-20b|eng,llama3-8b-instruct|ru,0.2983,0.0,0.1997,0.3969,True
gpt-oss-20b|eng,llama3-8b-instruct|sw,0.1901,0.0,0.0915,0.2886,True
gpt-oss-20b|eng,llama3-8b-instruct|th,0.3025,0.0,0.2039,0.4011,True
gpt-oss-20b|eng,llama3-8b-instruct|vi,0.2738,0.0,0.1752,0.3724,True
gpt-oss-20b|eng,qwen3-32b-v1|ar,0.2524,0.0,0.1538,0.351,True
gpt-oss-20b|eng,qwen3-32b-v1|eng,0.3751,0.0,0.2766,0.4737,True
gpt-oss-20b|eng,qwen3-32b-v1|fr,0.2642,0.0,0.1657,0.3628,True
gpt-oss-20b|eng,qwen3-32b-v1|ga,0.1518,0.0,0.0532,0.2504,True
gpt-oss-20b|eng,qwen3-32b-v1|he,0.2665,0.0,0.168,0.3651,True
gpt-oss-20b|eng,qwen3-32b-v1|raw,0.1101,0.0097,0.0116,0.2087,True
gpt-oss-20b|eng,qwen3-32b-v1|ru,0.2776,0.0,0.179,0.3762,True
gpt-oss-20b|eng,qwen3-32b-v1|sw,0.1533,0.0,0.0548,0.2519,True
gpt-oss-20b|eng,qwen3-32b-v1|th,0.2776,0.0,0.179,0.3762,True
gpt-oss-20b|eng,qwen3-32b-v1|vi,0.2799,0.0,0.1813,0.3785,True
gpt-oss-20b|fr,gpt-oss-20b|ga,-0.1614,0.0,-0.26,-0.0628,True
gpt-oss-20b|fr,gpt-oss-20b|he,-0.0054,1.0,-0.1039,0.0932,False
gpt-oss-20b|fr,gpt-oss-20b|raw,-0.182,0.0,-0.2806,-0.0834,True
