group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|ar,gpt-oss-20b|ar_crit,0.0015,1.0,-0.0931,0.0961,False
gpt-oss-20b|ar,gpt-oss-20b|eng,-0.0143,1.0,-0.1089,0.0802,False
gpt-oss-20b|ar,gpt-oss-20b|eng_crit,0.057,0.9994,-0.0376,0.1516,False
gpt-oss-20b|ar,gpt-oss-20b|fr,0.006,1.0,-0.0885,0.1006,False
gpt-oss-20b|ar,gpt-oss-20b|fr_crit,0.0415,1.0,-0.0531,0.1361,False
gpt-oss-20b|ar,gpt-oss-20b|ga,-0.1559,0.0,-0.2505,-0.0613,True
gpt-oss-20b|ar,gpt-oss-20b|ga_crit,-0.1665,0.0,-0.2611,-0.0719,True
gpt-oss-20b|ar,gpt-oss-20b|he,0.0008,1.0,-0.0938,0.0953,False
gpt-oss-20b|ar,gpt-oss-20b|he_crit,-0.0023,1.0,-0.0969,0.0923,False
gpt-oss-20b|ar,gpt-oss-20b|hi,-0.068,0.9692,-0.1625,0.0266,False
gpt-oss-20b|ar,gpt-oss-20b|hi_crit,0.0313,1.0,-0.0633,0.1259,False
gpt-oss-20b|ar,gpt-oss-20b|raw,-0.1744,0.0,-0.269,-0.0798,True
gpt-oss-20b|ar,gpt-oss-20b|ru,0.0234,1.0,-0.0712,0.118,False
gpt-oss-20b|ar,gpt-oss-20b|ru_crit,0.0264,1.0,-0.0682,0.121,False
gpt-oss-20b|ar,gpt-oss-20b|sw,-0.125,0.0031,-0.2195,-0.0304,True
gpt-oss-20b|ar,gpt-oss-20b|sw_crit,-0.1087,0.0439,-0.2033,-0.0141,True
gpt-oss-20b|ar,gpt-oss-20b|th,0.0106,1.0,-0.084,0.1052,False
gpt-oss-20b|ar,gpt-oss-20b|th_crit,0.0159,1.0,-0.0787,0.1104,False
gpt-oss-20b|ar,gpt-oss-20b|vi,0.0336,1.0,-0.061,0.1282,False
gpt-oss-20b|ar,gpt-oss-20b|vi_crit,0.0393,1.0,-0.0553,0.1338,False
gpt-oss-20b|ar,gpt-oss-20b|zh,-0.0438,1.0,-0.1384,0.0508,False
gpt-oss-20b|ar,gpt-oss-20b|zh_crit,0.0532,0.9999,-0.0414,0.1478,False
gpt-oss-20b|ar,llama3-8b-instruct|ar,0.279,0.0,0.1844,0.3736,True
gpt-oss-20b|ar,llama3-8b-instruct|ar_crit,0.4413,0.0,0.3467,0.5359,True
gpt-oss-20b|ar,llama3-8b-instruct|eng,0.2684,0.0,0.1738,0.363,True
gpt-oss-20b|ar,llama3-8b-instruct|eng_crit,0.4319,0.0,0.3373,0.5264,True
gpt-oss-20b|ar,llama3-8b-instruct|fr,0.2775,0.0,0.1829,0.3721,True
gpt-oss-20b|ar,llama3-8b-instruct|fr_crit,0.4613,0.0,0.3667,0.5559,True
gpt-oss-20b|ar,llama3-8b-instruct|ga,0.2057,0.0,0.1112,0.3003,True
gpt-oss-20b|ar,llama3-8b-instruct|ga_crit,0.3635,0.0,0.2689,0.4581,True
gpt-oss-20b|ar,llama3-8b-instruct|he,0.2918,0.0,0.1972,0.3864,True
gpt-oss-20b|ar,llama3-8b-instruct|he_crit,0.4738,0.0,0.3792,0.5684,True
gpt-oss-20b|ar,llama3-8b-instruct|hi,0.1419,0.0001,0.0474,0.2365,True
gpt-oss-20b|ar,llama3-8b-instruct|hi_crit,0.484,0.0,0.3894,0.5785,True
gpt-oss-20b|ar,llama3-8b-instruct|raw,0.1921,0.0,0.0976,0.2867,True
gpt-oss-20b|ar,llama3-8b-instruct|ru,0.2835,0.0,0.1889,0.3781,True
gpt-oss-20b|ar,llama3-8b-instruct|ru_crit,0.4353,0.0,0.3407,0.5298,True
