group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|ar,gpt-oss-20b|ar_crit_2,-0.131,0.0012,-0.2261,-0.0359,True
gpt-oss-20b|ar,gpt-oss-20b|eng,-0.0143,1.0,-0.1095,0.0808,False
gpt-oss-20b|ar,gpt-oss-20b|eng_crit_2,-0.1333,0.0008,-0.2284,-0.0381,True
gpt-oss-20b|ar,gpt-oss-20b|fr,0.006,1.0,-0.0891,0.1012,False
gpt-oss-20b|ar,gpt-oss-20b|fr_crit_2,-0.1008,0.1355,-0.1959,-0.0057,True
gpt-oss-20b|ar,gpt-oss-20b|ga,-0.1559,0.0,-0.251,-0.0608,True
gpt-oss-20b|ar,gpt-oss-20b|ga_crit_2,-0.188,0.0,-0.2831,-0.0929,True
gpt-oss-20b|ar,gpt-oss-20b|he,0.0008,1.0,-0.0944,0.0959,False
gpt-oss-20b|ar,gpt-oss-20b|he_crit_2,-0.1325,0.0009,-0.2276,-0.0374,True
gpt-oss-20b|ar,gpt-oss-20b|hi,-0.068,0.9698,-0.1631,0.0272,False
gpt-oss-20b|ar,gpt-oss-20b|hi_crit_2,-0.0864,0.5157,-0.1816,0.0087,False
gpt-oss-20b|ar,gpt-oss-20b|raw,-0.1744,0.0,-0.2695,-0.0793,True
gpt-oss-20b|ar,gpt-oss-20b|ru,0.0234,1.0,-0.0717,0.1185,False
gpt-oss-20b|ar,gpt-oss-20b|ru_crit_2,-0.1265,0.0029,-0.2216,-0.0313,True
gpt-oss-20b|ar,gpt-oss-20b|sw,-0.125,0.0037,-0.2201,-0.0298,True
gpt-oss-20b|ar,gpt-oss-20b|sw_crit_2,-0.1888,0.0,-0.2839,-0.0936,True
gpt-oss-20b|ar,gpt-oss-20b|th,0.0106,1.0,-0.0846,0.1057,False
gpt-oss-20b|ar,gpt-oss-20b|vi,0.0336,1.0,-0.0615,0.1287,False
gpt-oss-20b|ar,gpt-oss-20b|vi_crit_2,-0.0876,0.4767,-0.1827,0.0075,False
gpt-oss-20b|ar,gpt-oss-20b|zh,-0.0438,1.0,-0.1389,0.0513,False
gpt-oss-20b|ar,gpt-oss-20b|zh_crit_2,-0.0887,0.4385,-0.1838,0.0064,False
gpt-oss-20b|ar,llama3-8b-instruct|ar,0.279,0.0,0.1838,0.3741,True
gpt-oss-20b|ar,llama3-8b-instruct|ar_crit_2,-0.1155,0.0179,-0.2106,-0.0204,True
gpt-oss-20b|ar,llama3-8b-instruct|eng,0.2684,0.0,0.1733,0.3635,True
gpt-oss-20b|ar,llama3-8b-instruct|eng_crit_2,0.1012,0.1296,0.006,0.1963,True
gpt-oss-20b|ar,llama3-8b-instruct|fr,0.2775,0.0,0.1823,0.3726,True
gpt-oss-20b|ar,llama3-8b-instruct|fr_crit_2,-0.111,0.0354,-0.2061,-0.0159,True
gpt-oss-20b|ar,llama3-8b-instruct|ga,0.2057,0.0,0.1106,0.3009,True
gpt-oss-20b|ar,llama3-8b-instruct|ga_crit_2,-0.1548,0.0,-0.2499,-0.0596,True
gpt-oss-20b|ar,llama3-8b-instruct|he,0.2918,0.0,0.1967,0.3869,True
gpt-oss-20b|ar,llama3-8b-instruct|he_crit_2,-0.1208,0.0076,-0.2159,-0.0257,True
gpt-oss-20b|ar,llama3-8b-instruct|hi,0.1419,0.0001,0.0468,0.2371,True
gpt-oss-20b|ar,llama3-8b-instruct|hi_crit_2,-0.1106,0.0374,-0.2057,-0.0155,True
gpt-oss-20b|ar,llama3-8b-instruct|raw,0.1921,0.0,0.097,0.2873,True
gpt-oss-20b|ar,llama3-8b-instruct|ru,0.2835,0.0,0.1884,0.3786,True
gpt-oss-20b|ar,llama3-8b-instruct|ru_crit_2,-0.1246,0.004,-0.2197,-0.0294,True
gpt-oss-20b|ar,llama3-8b-instruct|sw,0.1763,0.0,0.0812,0.2714,True
gpt-oss-20b|ar,llama3-8b-instruct|sw_crit_2,-0.1604,0.0,-0.2556,-0.0653,True
gpt-oss-20b|ar,llama3-8b-instruct|th,0.2884,0.0,0.1933,0.3835,True
gpt-oss-20b|ar,llama3-8b-instruct|vi,0.259,0.0,0.1638,0.3541,True
gpt-oss-20b|ar,llama3-8b-instruct|vi_crit_2,-0.1378,0.0003,-0.2329,-0.0427,True
gpt-oss-20b|ar,llama3-8b-instruct|zh,0.1582,0.0,0.063,0.2533,True
gpt-oss-20b|ar,llama3-8b-instruct|zh_crit_2,-0.1178,0.0125,-0.2129,-0.0227,True
gpt-oss-20b|ar,qwen3-32b-v1|ar,0.2374,0.0,0.1423,0.3326,True
gpt-oss-20b|ar,qwen3-32b-v1|ar_crit_2,0.3375,0.0,0.2424,0.4326,True
gpt-oss-20b|ar,qwen3-32b-v1|eng,0.3601,0.0,0.265,0.4553,True
gpt-oss-20b|ar,qwen3-32b-v1|eng_crit_2,0.795,0.0,0.6999,0.8901,True
gpt-oss-20b|ar,qwen3-32b-v1|fr,0.2484,0.0,0.1533,0.3435,True
gpt-oss-20b|ar,qwen3-32b-v1|fr_crit_2,0.322,0.0,0.2269,0.4171,True
gpt-oss-20b|ar,qwen3-32b-v1|ga,0.1382,0.0003,0.043,0.2333,True
gpt-oss-20b|ar,qwen3-32b-v1|ga_crit_2,0.2461,0.0,0.151,0.3413,True
gpt-oss-20b|ar,qwen3-32b-v1|he,0.2507,0.0,0.1555,0.3458,True
gpt-oss-20b|ar,qwen3-32b-v1|he_crit_2,0.365,0.0,0.2699,0.4602,True
gpt-oss-20b|ar,qwen3-32b-v1|hi,0.2816,0.0,0.1865,0.3767,True
gpt-oss-20b|ar,qwen3-32b-v1|hi_crit_2,0.3337,0.0,0.2386,0.4288,True
gpt-oss-20b|ar,qwen3-32b-v1|raw,0.0959,0.2318,0.0008,0.191,True
gpt-oss-20b|ar,qwen3-32b-v1|ru,0.2624,0.0,0.1672,0.3575,True
gpt-oss-20b|ar,qwen3-32b-v1|ru_crit_2,0.3545,0.0,0.2593,0.4496,True
gpt-oss-20b|ar,qwen3-32b-v1|sw,0.1393,0.0002,0.0442,0.2344,True
gpt-oss-20b|ar,qwen3-32b-v1|sw_crit_2,0.2548,0.0,0.1597,0.3499,True
gpt-oss-20b|ar,qwen3-32b-v1|th,0.2624,0.0,0.1672,0.3575,True
gpt-oss-20b|ar,qwen3-32b-v1|vi,0.2654,0.0,0.1703,0.3605,True
gpt-oss-20b|ar,qwen3-32b-v1|vi_crit_2,0.3054,0.0,0.2103,0.4005,True
gpt-oss-20b|ar,qwen3-32b-v1|zh,0.3167,0.0,0.2216,0.4119,True
gpt-oss-20b|ar,qwen3-32b-v1|zh_crit_2,0.4254,0.0,0.3303,0.5206,True
gpt-oss-20b|ar_crit_2,gpt-oss-20b|eng,0.1166,0.015,0.0215,0.2118,True
gpt-oss-20b|ar_crit_2,gpt-oss-20b|eng_crit_2,-0.0023,1.0,-0.0974,0.0929,False
gpt-oss-20b|ar_crit_2,gpt-oss-20b|fr,0.137,0.0004,0.0419,0.2322,True
gpt-oss-20b|ar_crit_2,gpt-oss-20b|fr_crit_2,0.0302,1.0,-0.0649,0.1253,False
gpt-oss-20b|ar_crit_2,gpt-oss-20b|ga,-0.0249,1.0,-0.12,0.0702,False
gpt-oss-20b|ar_crit_2,gpt-oss-20b|ga_crit_2,-0.057,0.9994,-0.1521,0.0381,False
gpt-oss-20b|ar_crit_2,gpt-oss-20b|he,0.1317,0.0011,0.0366,0.2269,True
