group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|eng,gpt-oss-20b|raw,-0.1601,0.0,-0.2344,-0.0857,True
gpt-oss-20b|eng,llama3-8b-instruct|eng,0.2827,0.0,0.2084,0.3571,True
gpt-oss-20b|eng,llama3-8b-instruct|raw,0.2065,0.0,0.1321,0.2809,True
gpt-oss-20b|eng,qwen3-32b-v1|eng,0.3745,0.0,0.3001,0.4489,True
gpt-oss-20b|eng,qwen3-32b-v1|raw,0.1102,0.0003,0.0358,0.1846,True
gpt-oss-20b|raw,llama3-8b-instruct|eng,0.4428,0.0,0.3684,0.5172,True
gpt-oss-20b|raw,llama3-8b-instruct|raw,0.3666,0.0,0.2922,0.4409,True
gpt-oss-20b|raw,qwen3-32b-v1|eng,0.5345,0.0,0.4602,0.6089,True
gpt-oss-20b|raw,qwen3-32b-v1|raw,0.2703,0.0,0.1959,0.3447,True
llama3-8b-instruct|eng,llama3-8b-instruct|raw,-0.0763,0.0407,-0.1506,-0.0019,True
llama3-8b-instruct|eng,qwen3-32b-v1|eng,0.0917,0.0059,0.0174,0.1661,True
llama3-8b-instruct|eng,qwen3-32b-v1|raw,-0.1725,0.0,-0.2469,-0.0981,True
llama3-8b-instruct|raw,qwen3-32b-v1|eng,0.168,0.0,0.0936,0.2424,True
llama3-8b-instruct|raw,qwen3-32b-v1|raw,-0.0963,0.0031,-0.1706,-0.0219,True
qwen3-32b-v1|eng,qwen3-32b-v1|raw,-0.2643,0.0,-0.3386,-0.1899,True
