group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|eng,0.1905,0.0,0.0891,0.2919,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|fr,0.2109,0.0,0.1095,0.3123,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|frcwb_instruct,0.5552,0.0,0.4534,0.6571,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|ga,0.0489,1.0,-0.0525,0.1503,False
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|gacwb_instruct,-0.2477,0.0,-0.3491,-0.1463,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|he,0.2056,0.0,0.1042,0.307,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|hecwb_instruct,0.2441,0.0,0.1416,0.3466,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|hi,0.1369,0.0021,0.0355,0.2383,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|hicwb_instruct,0.0751,0.9485,-0.0271,0.1773,False
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|raw,0.0304,1.0,-0.0709,0.1318,False
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|ru,0.2283,0.0,0.1269,0.3296,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|rucwb_instruct,0.6347,0.0,0.5327,0.7368,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|sw,0.0799,0.8639,-0.0215,0.1813,False
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|swcwb_instruct,-0.3142,0.0,-0.4156,-0.2128,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|th,0.2154,0.0,0.114,0.3168,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|thcwb_instruct,0.0088,1.0,-0.0926,0.1102,False
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|vi,0.2384,0.0,0.1371,0.3398,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|vicwb_instruct,0.2554,0.0,0.1537,0.3572,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|zh,0.1611,0.0,0.0597,0.2624,True
gpt-oss-20b|arcwb_instruct,gpt-oss-20b|zhcwb_instruct,-0.0219,1.0,-0.1233,0.0795,False
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|arcwb_instruct,0.9991,0.0,0.8977,1.1005,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|eng,0.4732,0.0,0.3719,0.5746,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|fr,0.4823,0.0,0.3809,0.5837,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|frcwb_instruct,1.2013,0.0,1.0999,1.3027,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|ga,0.4106,0.0,0.3092,0.512,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|gacwb_instruct,-0.2236,0.0,-0.325,-0.1222,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|he,0.4967,0.0,0.3953,0.598,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|hecwb_instruct,1.3742,0.0,1.2728,1.4756,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|hi,0.3468,0.0,0.2454,0.4482,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|hicwb_instruct,0.6167,0.0,0.5153,0.7181,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|raw,0.397,0.0,0.2956,0.4984,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|ru,0.4883,0.0,0.387,0.5897,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|rucwb_instruct,1.6669,0.0,1.5655,1.7683,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|sw,0.3811,0.0,0.2797,0.4825,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|swcwb_instruct,-0.0368,1.0,-0.1381,0.0646,False
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|th,0.4933,0.0,0.3919,0.5946,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|thcwb_instruct,1.4989,0.0,1.3975,1.6003,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|vi,0.4638,0.0,0.3624,0.5652,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|vicwb_instruct,1.4785,0.0,1.3771,1.5799,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|zh,0.363,0.0,0.2616,0.4644,True
gpt-oss-20b|arcwb_instruct,llama3-8b-instruct|zhcwb_instruct,1.4461,0.0,1.3447,1.5475,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|arcwb_instruct,0.5555,0.0,0.4542,0.6569,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|eng,0.565,0.0,0.4636,0.6664,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|fr,0.4532,0.0,0.3519,0.5546,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|frcwb_instruct,1.4691,0.0,1.3677,1.5705,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|ga,0.343,0.0,0.2416,0.4444,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|gacwb_instruct,-0.0598,0.9995,-0.1612,0.0416,False
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|he,0.4555,0.0,0.3541,0.5569,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|hecwb_instruct,0.7206,0.0,0.6191,0.8221,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|hi,0.4865,0.0,0.3851,0.5879,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|hicwb_instruct,0.3198,0.0,0.2183,0.4212,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|raw,0.3007,0.0,0.1993,0.4021,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|ru,0.4672,0.0,0.3658,0.5686,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|rucwb_instruct,1.2112,0.0,1.1098,1.3127,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|sw,0.3441,0.0,0.2428,0.4455,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|swcwb_instruct,0.0195,1.0,-0.082,0.1209,False
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|th,0.4672,0.0,0.3658,0.5686,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|thcwb_instruct,0.7445,0.0,0.643,0.8461,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|vi,0.4702,0.0,0.3688,0.5716,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|vicwb_instruct,0.9749,0.0,0.8736,1.0763,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|zh,0.5216,0.0,0.4202,0.623,True
gpt-oss-20b|arcwb_instruct,qwen3-32b-v1|zhcwb_instruct,1.4136,0.0,1.3122,1.515,True
gpt-oss-20b|eng,gpt-oss-20b|fr,0.0204,1.0,-0.081,0.1218,False
gpt-oss-20b|eng,gpt-oss-20b|frcwb_instruct,0.3647,0.0,0.2629,0.4665,True
gpt-oss-20b|eng,gpt-oss-20b|ga,-0.1416,0.0009,-0.2429,-0.0402,True
gpt-oss-20b|eng,gpt-oss-20b|gacwb_instruct,-0.4382,0.0,-0.5396,-0.3368,True
gpt-oss-20b|eng,gpt-oss-20b|he,0.0151,1.0,-0.0863,0.1165,False
gpt-oss-20b|eng,gpt-oss-20b|hecwb_instruct,0.0536,1.0,-0.0489,0.1561,False
gpt-oss-20b|eng,gpt-oss-20b|hi,-0.0536,1.0,-0.155,0.0478,False
gpt-oss-20b|eng,gpt-oss-20b|hicwb_instruct,-0.1154,0.0592,-0.2176,-0.0132,True
gpt-oss-20b|eng,gpt-oss-20b|raw,-0.1601,0.0,-0.2614,-0.0587,True
gpt-oss-20b|eng,gpt-oss-20b|ru,0.0378,1.0,-0.0636,0.1391,False
gpt-oss-20b|eng,gpt-oss-20b|rucwb_instruct,0.4442,0.0,0.3422,0.5462,True
gpt-oss-20b|eng,gpt-oss-20b|sw,-0.1106,0.0952,-0.212,-0.0092,True
gpt-oss-20b|eng,gpt-oss-20b|swcwb_instruct,-0.5047,0.0,-0.6061,-0.4033,True
gpt-oss-20b|eng,gpt-oss-20b|th,0.0249,1.0,-0.0765,0.1263,False
gpt-oss-20b|eng,gpt-oss-20b|thcwb_instruct,-0.1817,0.0,-0.2831,-0.0803,True
gpt-oss-20b|eng,gpt-oss-20b|vi,0.0479,1.0,-0.0534,0.1493,False
gpt-oss-20b|eng,gpt-oss-20b|vicwb_instruct,0.0649,0.9965,-0.0368,0.1667,False
gpt-oss-20b|eng,gpt-oss-20b|zh,-0.0294,1.0,-0.1308,0.0719,False
gpt-oss-20b|eng,gpt-oss-20b|zhcwb_instruct,-0.2124,0.0,-0.3138,-0.111,True
gpt-oss-20b|eng,llama3-8b-instruct|arcwb_instruct,0.8086,0.0,0.7072,0.91,True
gpt-oss-20b|eng,llama3-8b-instruct|eng,0.2827,0.0,0.1814,0.3841,True
gpt-oss-20b|eng,llama3-8b-instruct|fr,0.2918,0.0,0.1904,0.3932,True
gpt-oss-20b|eng,llama3-8b-instruct|frcwb_instruct,1.0108,0.0,0.9094,1.1122,True
gpt-oss-20b|eng,llama3-8b-instruct|ga,0.2201,0.0,0.1187,0.3215,True
gpt-oss-20b|eng,llama3-8b-instruct|gacwb_instruct,-0.4141,0.0,-0.5155,-0.3127,True
gpt-oss-20b|eng,llama3-8b-instruct|he,0.3062,0.0,0.2048,0.4075,True
gpt-oss-20b|eng,llama3-8b-instruct|hecwb_instruct,1.1837,0.0,1.0824,1.2851,True
gpt-oss-20b|eng,llama3-8b-instruct|hi,0.1563,0.0001,0.0549,0.2577,True
gpt-oss-20b|eng,llama3-8b-instruct|hicwb_instruct,0.4262,0.0,0.3248,0.5276,True
gpt-oss-20b|eng,llama3-8b-instruct|raw,0.2065,0.0,0.1051,0.3079,True
gpt-oss-20b|eng,llama3-8b-instruct|ru,0.2978,0.0,0.1965,0.3992,True
gpt-oss-20b|eng,llama3-8b-instruct|rucwb_instruct,1.4764,0.0,1.375,1.5778,True
gpt-oss-20b|eng,llama3-8b-instruct|sw,0.1906,0.0,0.0893,0.292,True
gpt-oss-20b|eng,llama3-8b-instruct|swcwb_instruct,-0.2273,0.0,-0.3286,-0.1259,True
gpt-oss-20b|eng,llama3-8b-instruct|th,0.3028,0.0,0.2014,0.4041,True
gpt-oss-20b|eng,llama3-8b-instruct|thcwb_instruct,1.3084,0.0,1.207,1.4098,True
gpt-oss-20b|eng,llama3-8b-instruct|vi,0.2733,0.0,0.1719,0.3747,True
gpt-oss-20b|eng,llama3-8b-instruct|vicwb_instruct,1.288,0.0,1.1867,1.3894,True
gpt-oss-20b|eng,llama3-8b-instruct|zh,0.1725,0.0,0.0711,0.2739,True
gpt-oss-20b|eng,llama3-8b-instruct|zhcwb_instruct,1.2556,0.0,1.1542,1.3569,True
gpt-oss-20b|eng,qwen3-32b-v1|arcwb_instruct,0.365,0.0,0.2637,0.4664,True
gpt-oss-20b|eng,qwen3-32b-v1|eng,0.3745,0.0,0.2731,0.4759,True
gpt-oss-20b|eng,qwen3-32b-v1|fr,0.2627,0.0,0.1614,0.3641,True
gpt-oss-20b|eng,qwen3-32b-v1|frcwb_instruct,1.2786,0.0,1.1772,1.38,True
gpt-oss-20b|eng,qwen3-32b-v1|ga,0.1525,0.0001,0.0511,0.2539,True
gpt-oss-20b|eng,qwen3-32b-v1|gacwb_instruct,-0.2503,0.0,-0.3517,-0.1489,True
gpt-oss-20b|eng,qwen3-32b-v1|he,0.265,0.0,0.1636,0.3664,True
gpt-oss-20b|eng,qwen3-32b-v1|hecwb_instruct,0.5301,0.0,0.4286,0.6316,True
gpt-oss-20b|eng,qwen3-32b-v1|hi,0.296,0.0,0.1946,0.3973,True
gpt-oss-20b|eng,qwen3-32b-v1|hicwb_instruct,0.1293,0.0075,0.0278,0.2307,True
gpt-oss-20b|eng,qwen3-32b-v1|raw,0.1102,0.0995,0.0088,0.2116,True
gpt-oss-20b|eng,qwen3-32b-v1|ru,0.2767,0.0,0.1753,0.3781,True
gpt-oss-20b|eng,qwen3-32b-v1|rucwb_instruct,1.0207,0.0,0.9193,1.1221,True
gpt-oss-20b|eng,qwen3-32b-v1|sw,0.1536,0.0001,0.0523,0.255,True
gpt-oss-20b|eng,qwen3-32b-v1|swcwb_instruct,-0.171,0.0,-0.2725,-0.0696,True
gpt-oss-20b|eng,qwen3-32b-v1|th,0.2767,0.0,0.1753,0.3781,True
gpt-oss-20b|eng,qwen3-32b-v1|thcwb_instruct,0.554,0.0,0.4525,0.6555,True
gpt-oss-20b|eng,qwen3-32b-v1|vi,0.2797,0.0,0.1783,0.3811,True
gpt-oss-20b|eng,qwen3-32b-v1|vicwb_instruct,0.7844,0.0,0.6831,0.8858,True
gpt-oss-20b|eng,qwen3-32b-v1|zh,0.3311,0.0,0.2297,0.4324,True
gpt-oss-20b|eng,qwen3-32b-v1|zhcwb_instruct,1.2231,0.0,1.1217,1.3245,True
gpt-oss-20b|fr,gpt-oss-20b|frcwb_instruct,0.3443,0.0,0.2425,0.4462,True
gpt-oss-20b|fr,gpt-oss-20b|ga,-0.1619,0.0,-0.2633,-0.0606,True
gpt-oss-20b|fr,gpt-oss-20b|gacwb_instruct,-0.4586,0.0,-0.56,-0.3572,True
gpt-oss-20b|fr,gpt-oss-20b|he,-0.0053,1.0,-0.1067,0.0961,False
gpt-oss-20b|fr,gpt-oss-20b|hecwb_instruct,0.0332,1.0,-0.0693,0.1357,False
gpt-oss-20b|fr,gpt-oss-20b|hi,-0.074,0.9534,-0.1754,0.0274,False
gpt-oss-20b|fr,gpt-oss-20b|hicwb_instruct,-0.1358,0.0031,-0.238,-0.0336,True
gpt-oss-20b|fr,gpt-oss-20b|raw,-0.1804,0.0,-0.2818,-0.0791,True
gpt-oss-20b|fr,gpt-oss-20b|ru,0.0174,1.0,-0.084,0.1187,False
gpt-oss-20b|fr,gpt-oss-20b|rucwb_instruct,0.4238,0.0,0.3218,0.5259,True
gpt-oss-20b|fr,gpt-oss-20b|sw,-0.131,0.0056,-0.2324,-0.0296,True
