group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|ar_distraction,gpt-oss-20b|ar_distraction_qp_rem,-0.1229,0.001,-0.2095,-0.0364,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|eng_distraction,0.0363,1.0,-0.0503,0.1228,False
gpt-oss-20b|ar_distraction,gpt-oss-20b|eng_distraction_qp_rem,-0.0472,0.9997,-0.1338,0.0393,False
gpt-oss-20b|ar_distraction,gpt-oss-20b|fr_distraction,0.0482,0.9995,-0.0384,0.1347,False
gpt-oss-20b|ar_distraction,gpt-oss-20b|fr_distraction_qp_rem,-0.1739,0.0,-0.2604,-0.0873,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|ga_distraction,-0.1033,0.0302,-0.1898,-0.0167,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|ga_distraction_qp_rem,-0.2376,0.0,-0.3242,-0.1511,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|he_distraction,0.0404,1.0,-0.0461,0.127,False
gpt-oss-20b|ar_distraction,gpt-oss-20b|he_distraction_qp_rem,-0.1777,0.0,-0.2642,-0.0911,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|hi_distraction,0.0667,0.865,-0.0199,0.1532,False
gpt-oss-20b|ar_distraction,gpt-oss-20b|hi_distraction_qp_rem,-0.1805,0.0,-0.267,-0.0939,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|raw,-0.0611,0.9547,-0.1477,0.0254,False
gpt-oss-20b|ar_distraction,gpt-oss-20b|ru_distraction,-0.0051,1.0,-0.0916,0.0815,False
gpt-oss-20b|ar_distraction,gpt-oss-20b|ru_distraction_qp_rem,-0.1136,0.0056,-0.2001,-0.0271,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|sw_distraction,-0.0944,0.1024,-0.181,-0.0079,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|sw_distraction_qp_rem,-0.1962,0.0,-0.2827,-0.1096,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|th_distraction,-0.0251,1.0,-0.1116,0.0615,False
gpt-oss-20b|ar_distraction,gpt-oss-20b|th_distraction_qp_rem,-0.1266,0.0005,-0.2131,-0.04,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|vi_distraction,-0.0147,1.0,-0.1012,0.0719,False
gpt-oss-20b|ar_distraction,gpt-oss-20b|vi_distraction_qp_rem,-0.1141,0.0052,-0.2006,-0.0275,True
gpt-oss-20b|ar_distraction,gpt-oss-20b|zh_distraction,0.0824,0.3683,-0.0042,0.1689,False
gpt-oss-20b|ar_distraction,gpt-oss-20b|zh_distraction_qp_rem,-0.1845,0.0,-0.271,-0.0979,True
gpt-oss-20b|ar_distraction,llama3-8b-instruct|raw,0.3054,0.0,0.2189,0.392,True
gpt-oss-20b|ar_distraction,qwen3-32b-v1|ar_distraction,0.3753,0.0,0.2887,0.4618,True
gpt-oss-20b|ar_distraction,qwen3-32b-v1|ar_distraction_qp_rem,0.2971,0.0,0.2106,0.3837,True
gpt-oss-20b|ar_distraction,qwen3-32b-v1|eng_distraction,0.407,0.0,0.3204,0.4935,True
gpt-oss-20b|ar_distraction,qwen3-32b-v1|eng_distraction_qp_rem,0.3462,0.0,0.2597,0.4327,True
gpt-oss-20b|ar_distraction,qwen3-32b-v1|fr_distraction,0.418,0.0,0.3302,0.5058,True
gpt-oss-20b|ar_distraction,qwen3-32b-v1|fr_distraction_qp_rem,0.1873,0.0,0.1007,0.2738,True
gpt-oss-20b|ar_distraction,qwen3-32b-v1|ga_distraction,0.2767,0.0,0.1902,0.3633,True
gpt-oss-20b|ar_distraction,qwen3-32b-v1|ga_distraction_qp_rem,0.1756,0.0,0.089,0.2621,True
gpt-oss-20b|ar_distraction,qwen3-32b-v1|he_distraction,0.4097,0.0,0.3226,0.4968,True
