group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|ar_instruct_instruct_rem,-0.0786,0.8535,-0.1772,0.02,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|eng_distraction_qp_rem,0.0757,0.9119,-0.0229,0.1743,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|eng_instruct_instruct_rem,0.1425,0.0003,0.0438,0.2412,True
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|fr_distraction_qp_rem,-0.051,1.0,-0.1496,0.0476,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|fr_instruct_instruct_rem,-0.0325,1.0,-0.1311,0.0661,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|ga_distraction_qp_rem,-0.1147,0.0363,-0.2133,-0.0161,True
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|ga_instruct_instruct_rem,-0.0185,1.0,-0.1171,0.0801,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|he_distraction_qp_rem,-0.0548,0.9999,-0.1534,0.0439,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|he_instruct_instruct_rem,-0.1298,0.0034,-0.2284,-0.0311,True
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|hi_distraction_qp_rem,-0.0576,0.9998,-0.1562,0.0411,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|hi_instruct_instruct_rem,-0.1016,0.1851,-0.2002,-0.003,True
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|raw,0.0618,0.9984,-0.0368,0.1604,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|ru_distraction_qp_rem,0.0093,1.0,-0.0893,0.1079,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|ru_instruct_instruct_rem,-0.0922,0.4317,-0.1908,0.0064,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|sw_distraction_qp_rem,-0.0733,0.9458,-0.1719,0.0254,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|sw_instruct_instruct_rem,-0.0567,0.9998,-0.1554,0.0419,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|th_distraction_qp_rem,-0.0037,1.0,-0.1023,0.095,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|th_instruct_instruct_rem,-0.0341,1.0,-0.1327,0.0645,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|vi_distraction_qp_rem,0.0088,1.0,-0.0898,0.1074,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|vi_instruct_instruct_rem,-0.0673,0.9884,-0.1659,0.0313,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|zh_distraction_qp_rem,-0.0616,0.9985,-0.1602,0.0371,False
gpt-oss-20b|ar_distraction_qp_rem,gpt-oss-20b|zh_instruct_instruct_rem,-0.0726,0.9531,-0.1712,0.026,False
gpt-oss-20b|ar_distraction_qp_rem,llama3-8b-instruct|ar_distraction_qp_rem,0.2003,0.0,0.1017,0.2989,True
gpt-oss-20b|ar_distraction_qp_rem,llama3-8b-instruct|ar_instruct_instruct_rem,0.2709,0.0,0.1723,0.3695,True
gpt-oss-20b|ar_distraction_qp_rem,llama3-8b-instruct|eng_distraction_qp_rem,0.3066,0.0,0.208,0.4053,True
gpt-oss-20b|ar_distraction_qp_rem,llama3-8b-instruct|eng_instruct_instruct_rem,0.3596,0.0,0.261,0.4582,True
gpt-oss-20b|ar_distraction_qp_rem,llama3-8b-instruct|fr_distraction_qp_rem,0.2294,0.0,0.1308,0.328,True
gpt-oss-20b|ar_distraction_qp_rem,llama3-8b-instruct|fr_instruct_instruct_rem,0.2931,0.0,0.1944,0.3917,True
gpt-oss-20b|ar_distraction_qp_rem,llama3-8b-instruct|ga_distraction_qp_rem,0.192,0.0,0.0934,0.2906,True
gpt-oss-20b|ar_distraction_qp_rem,llama3-8b-instruct|ga_instruct_instruct_rem,0.2815,0.0,0.1829,0.3801,True
gpt-oss-20b|ar_distraction_qp_rem,llama3-8b-instruct|he_distraction_qp_rem,0.233,0.0,0.1344,0.3316,True
gpt-oss-20b|ar_distraction_qp_rem,llama3-8b-instruct|he_instruct_instruct_rem,0.2275,0.0,0.1289,0.3261,True
