group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|eng,gpt-oss-20b|eng_vi,0.0093,1.0,-0.2154,0.234,False
gpt-oss-20b|eng,gpt-oss-20b|raw,-0.1674,0.3491,-0.3921,0.0573,False
gpt-oss-20b|eng,gpt-oss-20b|vi,0.0523,0.9993,-0.1724,0.277,False
gpt-oss-20b|eng,llama3-8b-instruct|eng,0.4833,0.0,0.2586,0.708,True
gpt-oss-20b|eng,llama3-8b-instruct|raw,0.2082,0.0966,-0.0165,0.4329,False
gpt-oss-20b|eng,llama3-8b-instruct|vi,0.2826,0.0029,0.0579,0.5073,True
gpt-oss-20b|eng,qwen3-32b-v1|eng,0.378,0.0,0.1533,0.6027,True
gpt-oss-20b|eng,qwen3-32b-v1|raw,0.1085,0.8788,-0.1162,0.3332,False
gpt-oss-20b|eng,qwen3-32b-v1|vi,0.2813,0.0031,0.0566,0.506,True
gpt-oss-20b|eng_vi,gpt-oss-20b|raw,-0.1767,0.2721,-0.4014,0.048,False
gpt-oss-20b|eng_vi,gpt-oss-20b|vi,0.0429,0.9999,-0.1818,0.2676,False
gpt-oss-20b|eng_vi,llama3-8b-instruct|eng,0.4739,0.0,0.2492,0.6986,True
gpt-oss-20b|eng_vi,llama3-8b-instruct|raw,0.1988,0.1355,-0.0259,0.4235,False
gpt-oss-20b|eng_vi,llama3-8b-instruct|vi,0.2732,0.0048,0.0485,0.4979,True
gpt-oss-20b|eng_vi,qwen3-32b-v1|eng,0.3686,0.0,0.1439,0.5933,True
gpt-oss-20b|eng_vi,qwen3-32b-v1|raw,0.0992,0.927,-0.1255,0.3239,False
gpt-oss-20b|eng_vi,qwen3-32b-v1|vi,0.2719,0.0052,0.0472,0.4966,True
gpt-oss-20b|raw,gpt-oss-20b|vi,0.2197,0.0616,-0.005,0.4444,False
gpt-oss-20b|raw,llama3-8b-instruct|eng,0.6507,0.0,0.426,0.8754,True
gpt-oss-20b|raw,llama3-8b-instruct|raw,0.3756,0.0,0.1509,0.6003,True
gpt-oss-20b|raw,llama3-8b-instruct|vi,0.45,0.0,0.2253,0.6747,True
gpt-oss-20b|raw,qwen3-32b-v1|eng,0.5454,0.0,0.3207,0.7701,True
gpt-oss-20b|raw,qwen3-32b-v1|raw,0.2759,0.0042,0.0512,0.5006,True
gpt-oss-20b|raw,qwen3-32b-v1|vi,0.4487,0.0,0.224,0.6734,True
gpt-oss-20b|vi,llama3-8b-instruct|eng,0.431,0.0,0.2063,0.6557,True
gpt-oss-20b|vi,llama3-8b-instruct|raw,0.1559,0.4564,-0.0688,0.3806,False
gpt-oss-20b|vi,llama3-8b-instruct|vi,0.2303,0.0393,0.0056,0.455,True
gpt-oss-20b|vi,qwen3-32b-v1|eng,0.3257,0.0002,0.101,0.5504,True
gpt-oss-20b|vi,qwen3-32b-v1|raw,0.0563,0.9987,-0.1684,0.281,False
gpt-oss-20b|vi,qwen3-32b-v1|vi,0.229,0.0416,0.0043,0.4537,True
llama3-8b-instruct|eng,llama3-8b-instruct|raw,-0.2751,0.0044,-0.4998,-0.0504,True
llama3-8b-instruct|eng,llama3-8b-instruct|vi,-0.2007,0.1269,-0.4254,0.024,False
llama3-8b-instruct|eng,qwen3-32b-v1|eng,-0.1053,0.8972,-0.33,0.1194,False
llama3-8b-instruct|eng,qwen3-32b-v1|raw,-0.3748,0.0,-0.5994,-0.1501,True
llama3-8b-instruct|eng,qwen3-32b-v1|vi,-0.202,0.1212,-0.4267,0.0227,False
llama3-8b-instruct|raw,llama3-8b-instruct|vi,0.0744,0.9889,-0.1503,0.2991,False
llama3-8b-instruct|raw,qwen3-32b-v1|eng,0.1698,0.3283,-0.0549,0.3945,False
llama3-8b-instruct|raw,qwen3-32b-v1|raw,-0.0997,0.9249,-0.3243,0.125,False
llama3-8b-instruct|raw,qwen3-32b-v1|vi,0.0731,0.9902,-0.1516,0.2978,False
llama3-8b-instruct|vi,qwen3-32b-v1|eng,0.0954,0.9422,-0.1293,0.3201,False
llama3-8b-instruct|vi,qwen3-32b-v1|raw,-0.1741,0.2932,-0.3988,0.0506,False
llama3-8b-instruct|vi,qwen3-32b-v1|vi,-0.0013,1.0,-0.226,0.2234,False
qwen3-32b-v1|eng,qwen3-32b-v1|raw,-0.2695,0.0059,-0.4942,-0.0448,True
qwen3-32b-v1|eng,qwen3-32b-v1|vi,-0.0967,0.9373,-0.3214,0.128,False
qwen3-32b-v1|raw,qwen3-32b-v1|vi,0.1728,0.3036,-0.0519,0.3975,False
