group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|eng,gpt-oss-20b|raw,-0.1525,0.7185,-0.3893,0.0843,False
gpt-oss-20b|eng,gpt-oss-20b|ru,0.0418,1.0,-0.195,0.2787,False
gpt-oss-20b|eng,gpt-oss-20b|sw,-0.1084,0.9815,-0.3452,0.1284,False
gpt-oss-20b|eng,gpt-oss-20b|th,0.0309,1.0,-0.206,0.2677,False
gpt-oss-20b|eng,gpt-oss-20b|vi,0.0523,1.0,-0.1846,0.2891,False
gpt-oss-20b|eng,llama3-8b-instruct|eng,0.4839,0.0,0.2471,0.7207,True
gpt-oss-20b|eng,llama3-8b-instruct|raw,0.2091,0.1624,-0.0277,0.446,False
gpt-oss-20b|eng,llama3-8b-instruct|ru,0.3048,0.001,0.068,0.5417,True
gpt-oss-20b|eng,llama3-8b-instruct|sw,0.1999,0.226,-0.0369,0.4368,False
gpt-oss-20b|eng,llama3-8b-instruct|th,0.311,0.0007,0.0742,0.5478,True
gpt-oss-20b|eng,llama3-8b-instruct|vi,0.2832,0.004,0.0464,0.52,True
gpt-oss-20b|eng,qwen3-32b-v1|eng,0.378,0.0,0.1412,0.6148,True
gpt-oss-20b|eng,qwen3-32b-v1|raw,0.11,0.9787,-0.1268,0.3468,False
gpt-oss-20b|eng,qwen3-32b-v1|ru,0.2785,0.0054,0.0417,0.5153,True
gpt-oss-20b|eng,qwen3-32b-v1|sw,0.1554,0.6884,-0.0815,0.3922,False
gpt-oss-20b|eng,qwen3-32b-v1|th,0.2833,0.004,0.0465,0.5201,True
gpt-oss-20b|eng,qwen3-32b-v1|vi,0.2813,0.0045,0.0445,0.5181,True
gpt-oss-20b|raw,gpt-oss-20b|ru,0.1944,0.2718,-0.0425,0.4312,False
gpt-oss-20b|raw,gpt-oss-20b|sw,0.0441,1.0,-0.1927,0.2809,False
gpt-oss-20b|raw,gpt-oss-20b|th,0.1834,0.3768,-0.0535,0.4202,False
gpt-oss-20b|raw,gpt-oss-20b|vi,0.2048,0.1908,-0.0321,0.4416,False
gpt-oss-20b|raw,llama3-8b-instruct|eng,0.6364,0.0,0.3996,0.8732,True
gpt-oss-20b|raw,llama3-8b-instruct|raw,0.3616,0.0,0.1248,0.5985,True
gpt-oss-20b|raw,llama3-8b-instruct|ru,0.4573,0.0,0.2205,0.6942,True
gpt-oss-20b|raw,llama3-8b-instruct|sw,0.3524,0.0,0.1156,0.5893,True
gpt-oss-20b|raw,llama3-8b-instruct|th,0.4635,0.0,0.2267,0.7003,True
gpt-oss-20b|raw,llama3-8b-instruct|vi,0.4357,0.0,0.1989,0.6725,True
gpt-oss-20b|raw,qwen3-32b-v1|eng,0.5305,0.0,0.2937,0.7673,True
gpt-oss-20b|raw,qwen3-32b-v1|raw,0.2625,0.0134,0.0257,0.4993,True
gpt-oss-20b|raw,qwen3-32b-v1|ru,0.431,0.0,0.1942,0.6678,True
gpt-oss-20b|raw,qwen3-32b-v1|sw,0.3079,0.0008,0.071,0.5447,True
gpt-oss-20b|raw,qwen3-32b-v1|th,0.4358,0.0,0.199,0.6727,True
gpt-oss-20b|raw,qwen3-32b-v1|vi,0.4338,0.0,0.197,0.6706,True
gpt-oss-20b|ru,gpt-oss-20b|sw,-0.1503,0.7415,-0.3871,0.0866,False
gpt-oss-20b|ru,gpt-oss-20b|th,-0.011,1.0,-0.2478,0.2258,False
gpt-oss-20b|ru,gpt-oss-20b|vi,0.0104,1.0,-0.2264,0.2472,False
gpt-oss-20b|ru,llama3-8b-instruct|eng,0.4421,0.0,0.2053,0.6789,True
gpt-oss-20b|ru,llama3-8b-instruct|raw,0.1673,0.5544,-0.0695,0.4041,False
gpt-oss-20b|ru,llama3-8b-instruct|ru,0.263,0.0131,0.0262,0.4998,True
gpt-oss-20b|ru,llama3-8b-instruct|sw,0.1581,0.6585,-0.0787,0.3949,False
gpt-oss-20b|ru,llama3-8b-instruct|th,0.2691,0.0092,0.0323,0.506,True
gpt-oss-20b|ru,llama3-8b-instruct|vi,0.2414,0.0402,0.0046,0.4782,True
gpt-oss-20b|ru,qwen3-32b-v1|eng,0.3361,0.0001,0.0993,0.5729,True
gpt-oss-20b|ru,qwen3-32b-v1|raw,0.0681,0.9999,-0.1687,0.3049,False
gpt-oss-20b|ru,qwen3-32b-v1|ru,0.2366,0.0504,-0.0002,0.4735,False
gpt-oss-20b|ru,qwen3-32b-v1|sw,0.1135,0.9709,-0.1233,0.3503,False
gpt-oss-20b|ru,qwen3-32b-v1|th,0.2415,0.04,0.0047,0.4783,True
gpt-oss-20b|ru,qwen3-32b-v1|vi,0.2394,0.0441,0.0026,0.4762,True
gpt-oss-20b|sw,gpt-oss-20b|th,0.1393,0.841,-0.0975,0.3761,False
gpt-oss-20b|sw,gpt-oss-20b|vi,0.1607,0.6298,-0.0761,0.3975,False
gpt-oss-20b|sw,llama3-8b-instruct|eng,0.5923,0.0,0.3555,0.8291,True
gpt-oss-20b|sw,llama3-8b-instruct|raw,0.3176,0.0004,0.0807,0.5544,True
gpt-oss-20b|sw,llama3-8b-instruct|ru,0.4133,0.0,0.1764,0.6501,True
gpt-oss-20b|sw,llama3-8b-instruct|sw,0.3084,0.0008,0.0715,0.5452,True
gpt-oss-20b|sw,llama3-8b-instruct|th,0.4194,0.0,0.1826,0.6562,True
gpt-oss-20b|sw,llama3-8b-instruct|vi,0.3916,0.0,0.1548,0.6284,True
gpt-oss-20b|sw,qwen3-32b-v1|eng,0.4864,0.0,0.2496,0.7232,True
gpt-oss-20b|sw,qwen3-32b-v1|raw,0.2184,0.1129,-0.0184,0.4552,False
gpt-oss-20b|sw,qwen3-32b-v1|ru,0.3869,0.0,0.1501,0.6237,True
gpt-oss-20b|sw,qwen3-32b-v1|sw,0.2638,0.0125,0.027,0.5006,True
gpt-oss-20b|sw,qwen3-32b-v1|th,0.3917,0.0,0.1549,0.6286,True
gpt-oss-20b|sw,qwen3-32b-v1|vi,0.3897,0.0,0.1529,0.6265,True
gpt-oss-20b|th,gpt-oss-20b|vi,0.0214,1.0,-0.2154,0.2582,False
gpt-oss-20b|th,llama3-8b-instruct|eng,0.4531,0.0,0.2162,0.6899,True
gpt-oss-20b|th,llama3-8b-instruct|raw,0.1783,0.4306,-0.0585,0.4151,False
gpt-oss-20b|th,llama3-8b-instruct|ru,0.274,0.007,0.0372,0.5108,True
gpt-oss-20b|th,llama3-8b-instruct|sw,0.1691,0.5339,-0.0677,0.4059,False
gpt-oss-20b|th,llama3-8b-instruct|th,0.2801,0.0049,0.0433,0.517,True
gpt-oss-20b|th,llama3-8b-instruct|vi,0.2524,0.0231,0.0156,0.4892,True
gpt-oss-20b|th,qwen3-32b-v1|eng,0.3471,0.0001,0.1103,0.5839,True
gpt-oss-20b|th,qwen3-32b-v1|raw,0.0791,0.9995,-0.1577,0.3159,False
gpt-oss-20b|th,qwen3-32b-v1|ru,0.2476,0.0294,0.0108,0.4844,True
gpt-oss-20b|th,qwen3-32b-v1|sw,0.1245,0.9329,-0.1123,0.3613,False
gpt-oss-20b|th,qwen3-32b-v1|th,0.2525,0.0229,0.0157,0.4893,True
gpt-oss-20b|th,qwen3-32b-v1|vi,0.2504,0.0255,0.0136,0.4872,True
gpt-oss-20b|vi,llama3-8b-instruct|eng,0.4317,0.0,0.1948,0.6685,True
gpt-oss-20b|vi,llama3-8b-instruct|raw,0.1569,0.6718,-0.0799,0.3937,False
gpt-oss-20b|vi,llama3-8b-instruct|ru,0.2526,0.0228,0.0158,0.4894,True
gpt-oss-20b|vi,llama3-8b-instruct|sw,0.1477,0.7668,-0.0891,0.3845,False
gpt-oss-20b|vi,llama3-8b-instruct|th,0.2587,0.0165,0.0219,0.4955,True
gpt-oss-20b|vi,llama3-8b-instruct|vi,0.231,0.0656,-0.0059,0.4678,False
gpt-oss-20b|vi,qwen3-32b-v1|eng,0.3257,0.0002,0.0889,0.5625,True
gpt-oss-20b|vi,qwen3-32b-v1|raw,0.0577,1.0,-0.1791,0.2945,False
gpt-oss-20b|vi,qwen3-32b-v1|ru,0.2262,0.081,-0.0106,0.463,False
gpt-oss-20b|vi,qwen3-32b-v1|sw,0.1031,0.9891,-0.1337,0.3399,False
gpt-oss-20b|vi,qwen3-32b-v1|th,0.2311,0.0652,-0.0057,0.4679,False
gpt-oss-20b|vi,qwen3-32b-v1|vi,0.229,0.0715,-0.0078,0.4658,False
llama3-8b-instruct|eng,llama3-8b-instruct|raw,-0.2748,0.0067,-0.5116,-0.038,True
llama3-8b-instruct|eng,llama3-8b-instruct|ru,-0.1791,0.4221,-0.4159,0.0577,False
llama3-8b-instruct|eng,llama3-8b-instruct|sw,-0.284,0.0039,-0.5208,-0.0472,True
llama3-8b-instruct|eng,llama3-8b-instruct|th,-0.1729,0.4903,-0.4097,0.0639,False
llama3-8b-instruct|eng,llama3-8b-instruct|vi,-0.2007,0.2202,-0.4375,0.0361,False
llama3-8b-instruct|eng,qwen3-32b-v1|eng,-0.1059,0.9854,-0.3428,0.1309,False
llama3-8b-instruct|eng,qwen3-32b-v1|raw,-0.3739,0.0,-0.6108,-0.1371,True
llama3-8b-instruct|eng,qwen3-32b-v1|ru,-0.2054,0.1863,-0.4422,0.0314,False
llama3-8b-instruct|eng,qwen3-32b-v1|sw,-0.3286,0.0002,-0.5654,-0.0917,True
llama3-8b-instruct|eng,qwen3-32b-v1|th,-0.2006,0.2211,-0.4374,0.0362,False
llama3-8b-instruct|eng,qwen3-32b-v1|vi,-0.2026,0.2059,-0.4394,0.0342,False
llama3-8b-instruct|raw,llama3-8b-instruct|ru,0.0957,0.9952,-0.1411,0.3325,False
llama3-8b-instruct|raw,llama3-8b-instruct|sw,-0.0092,1.0,-0.246,0.2276,False
llama3-8b-instruct|raw,llama3-8b-instruct|th,0.1018,0.9904,-0.135,0.3387,False
llama3-8b-instruct|raw,llama3-8b-instruct|vi,0.0741,0.9998,-0.1627,0.3109,False
llama3-8b-instruct|raw,qwen3-32b-v1|eng,0.1688,0.5368,-0.068,0.4056,False
llama3-8b-instruct|raw,qwen3-32b-v1|raw,-0.0992,0.9928,-0.336,0.1377,False
llama3-8b-instruct|raw,qwen3-32b-v1|ru,0.0693,0.9999,-0.1675,0.3062,False
llama3-8b-instruct|raw,qwen3-32b-v1|sw,-0.0538,1.0,-0.2906,0.183,False
llama3-8b-instruct|raw,qwen3-32b-v1|th,0.0742,0.9998,-0.1626,0.311,False
llama3-8b-instruct|raw,qwen3-32b-v1|vi,0.0721,0.9999,-0.1647,0.309,False
llama3-8b-instruct|ru,llama3-8b-instruct|sw,-0.1049,0.9869,-0.3417,0.1319,False
