group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|ar_last,gpt-oss-20b|eng_last,-0.0512,0.9764,-0.1477,0.0453,False
gpt-oss-20b|ar_last,gpt-oss-20b|fr_last,-0.0288,1.0,-0.1253,0.0677,False
gpt-oss-20b|ar_last,gpt-oss-20b|ga_last,-0.1736,0.0,-0.27,-0.0771,True
gpt-oss-20b|ar_last,gpt-oss-20b|he_last,-0.0136,1.0,-0.1101,0.0829,False
gpt-oss-20b|ar_last,gpt-oss-20b|raw,-0.2653,0.0,-0.3617,-0.1688,True
gpt-oss-20b|ar_last,gpt-oss-20b|ru_last,0.0072,1.0,-0.0893,0.1037,False
gpt-oss-20b|ar_last,gpt-oss-20b|sw_last,-0.1114,0.0056,-0.2079,-0.0149,True
gpt-oss-20b|ar_last,gpt-oss-20b|th_last,0.0106,1.0,-0.0859,0.1071,False
gpt-oss-20b|ar_last,gpt-oss-20b|vi_last,0.0303,1.0,-0.0662,0.1268,False
gpt-oss-20b|ar_last,llama3-8b-instruct|eng_last,0.4786,0.0,0.3821,0.5751,True
gpt-oss-20b|ar_last,llama3-8b-instruct|fr_last,0.2175,0.0,0.121,0.314,True
gpt-oss-20b|ar_last,llama3-8b-instruct|ga_last,0.0906,0.1036,-0.0059,0.1871,False
gpt-oss-20b|ar_last,llama3-8b-instruct|he_last,0.2577,0.0,0.1612,0.3542,True
gpt-oss-20b|ar_last,llama3-8b-instruct|raw,0.1031,0.0202,0.0066,0.1996,True
gpt-oss-20b|ar_last,llama3-8b-instruct|ru_last,0.2437,0.0,0.1472,0.3401,True
gpt-oss-20b|ar_last,llama3-8b-instruct|sw_last,0.0163,1.0,-0.0802,0.1128,False
gpt-oss-20b|ar_last,llama3-8b-instruct|th_last,0.252,0.0,0.1555,0.3485,True
gpt-oss-20b|ar_last,llama3-8b-instruct|vi_last,0.2247,0.0,0.1282,0.3212,True
gpt-oss-20b|ar_last,qwen3-32b-v1|eng_last,0.2077,0.0,0.1112,0.3042,True
gpt-oss-20b|ar_last,qwen3-32b-v1|fr_last,0.1186,0.0017,0.0221,0.2151,True
gpt-oss-20b|ar_last,qwen3-32b-v1|ga_last,-0.089,0.123,-0.1855,0.0074,False
gpt-oss-20b|ar_last,qwen3-32b-v1|he_last,0.1004,0.0295,0.0039,0.1969,True
gpt-oss-20b|ar_last,qwen3-32b-v1|raw,0.0061,1.0,-0.0904,0.1026,False
gpt-oss-20b|ar_last,qwen3-32b-v1|ru_last,0.1398,0.0,0.0433,0.2363,True
gpt-oss-20b|ar_last,qwen3-32b-v1|sw_last,-0.0659,0.7222,-0.1624,0.0306,False
gpt-oss-20b|ar_last,qwen3-32b-v1|th_last,0.136,0.0001,0.0395,0.2325,True
gpt-oss-20b|ar_last,qwen3-32b-v1|vi_last,0.1349,0.0001,0.0384,0.2314,True
gpt-oss-20b|eng_last,gpt-oss-20b|fr_last,0.0224,1.0,-0.0741,0.1189,False
gpt-oss-20b|eng_last,gpt-oss-20b|ga_last,-0.1224,0.0008,-0.2189,-0.0259,True
gpt-oss-20b|eng_last,gpt-oss-20b|he_last,0.0375,0.9998,-0.059,0.134,False
gpt-oss-20b|eng_last,gpt-oss-20b|raw,-0.2141,0.0,-0.3106,-0.1176,True
gpt-oss-20b|eng_last,gpt-oss-20b|ru_last,0.0584,0.8982,-0.0381,0.1549,False
gpt-oss-20b|eng_last,gpt-oss-20b|sw_last,-0.0603,0.8631,-0.1567,0.0362,False
gpt-oss-20b|eng_last,gpt-oss-20b|th_last,0.0618,0.8305,-0.0347,0.1583,False
gpt-oss-20b|eng_last,gpt-oss-20b|vi_last,0.0815,0.2635,-0.015,0.178,False
gpt-oss-20b|eng_last,llama3-8b-instruct|eng_last,0.5297,0.0,0.4332,0.6262,True
gpt-oss-20b|eng_last,llama3-8b-instruct|fr_last,0.2687,0.0,0.1722,0.3652,True
gpt-oss-20b|eng_last,llama3-8b-instruct|ga_last,0.1417,0.0,0.0452,0.2382,True
gpt-oss-20b|eng_last,llama3-8b-instruct|he_last,0.3088,0.0,0.2123,0.4053,True
gpt-oss-20b|eng_last,llama3-8b-instruct|raw,0.1542,0.0,0.0577,0.2507,True
gpt-oss-20b|eng_last,llama3-8b-instruct|ru_last,0.2948,0.0,0.1983,0.3913,True
gpt-oss-20b|eng_last,llama3-8b-instruct|sw_last,0.0674,0.6774,-0.029,0.1639,False
gpt-oss-20b|eng_last,llama3-8b-instruct|th_last,0.3031,0.0,0.2066,0.3996,True
gpt-oss-20b|eng_last,llama3-8b-instruct|vi_last,0.2759,0.0,0.1794,0.3724,True
gpt-oss-20b|eng_last,qwen3-32b-v1|eng_last,0.2588,0.0,0.1623,0.3553,True
gpt-oss-20b|eng_last,qwen3-32b-v1|fr_last,0.1698,0.0,0.0733,0.2663,True
gpt-oss-20b|eng_last,qwen3-32b-v1|ga_last,-0.0379,0.9998,-0.1344,0.0586,False
gpt-oss-20b|eng_last,qwen3-32b-v1|he_last,0.1516,0.0,0.0551,0.2481,True
gpt-oss-20b|eng_last,qwen3-32b-v1|raw,0.0572,0.9161,-0.0393,0.1537,False
gpt-oss-20b|eng_last,qwen3-32b-v1|ru_last,0.191,0.0,0.0945,0.2875,True
gpt-oss-20b|eng_last,qwen3-32b-v1|sw_last,-0.0148,1.0,-0.1113,0.0817,False
gpt-oss-20b|eng_last,qwen3-32b-v1|th_last,0.1872,0.0,0.0907,0.2837,True
gpt-oss-20b|eng_last,qwen3-32b-v1|vi_last,0.1861,0.0,0.0896,0.2826,True
gpt-oss-20b|fr_last,gpt-oss-20b|ga_last,-0.1448,0.0,-0.2412,-0.0483,True
gpt-oss-20b|fr_last,gpt-oss-20b|he_last,0.0152,1.0,-0.0813,0.1117,False
gpt-oss-20b|fr_last,gpt-oss-20b|raw,-0.2365,0.0,-0.3329,-0.14,True
gpt-oss-20b|fr_last,gpt-oss-20b|ru_last,0.036,0.9999,-0.0605,0.1325,False
gpt-oss-20b|fr_last,gpt-oss-20b|sw_last,-0.0826,0.2375,-0.1791,0.0139,False
gpt-oss-20b|fr_last,gpt-oss-20b|th_last,0.0394,0.9995,-0.0571,0.1359,False
gpt-oss-20b|fr_last,gpt-oss-20b|vi_last,0.0591,0.8849,-0.0374,0.1556,False
gpt-oss-20b|fr_last,llama3-8b-instruct|eng_last,0.5074,0.0,0.4109,0.6039,True
gpt-oss-20b|fr_last,llama3-8b-instruct|fr_last,0.2463,0.0,0.1498,0.3428,True
gpt-oss-20b|fr_last,llama3-8b-instruct|ga_last,0.1194,0.0015,0.0229,0.2159,True
gpt-oss-20b|fr_last,llama3-8b-instruct|he_last,0.2865,0.0,0.19,0.383,True
gpt-oss-20b|fr_last,llama3-8b-instruct|raw,0.1319,0.0001,0.0354,0.2284,True
gpt-oss-20b|fr_last,llama3-8b-instruct|ru_last,0.2725,0.0,0.176,0.3689,True
gpt-oss-20b|fr_last,llama3-8b-instruct|sw_last,0.0451,0.9959,-0.0514,0.1416,False
gpt-oss-20b|fr_last,llama3-8b-instruct|th_last,0.2808,0.0,0.1843,0.3773,True
gpt-oss-20b|fr_last,llama3-8b-instruct|vi_last,0.2535,0.0,0.157,0.35,True
gpt-oss-20b|fr_last,qwen3-32b-v1|eng_last,0.2365,0.0,0.14,0.3329,True
gpt-oss-20b|fr_last,qwen3-32b-v1|fr_last,0.1474,0.0,0.0509,0.2439,True
gpt-oss-20b|fr_last,qwen3-32b-v1|ga_last,-0.0603,0.8631,-0.1567,0.0362,False
gpt-oss-20b|fr_last,qwen3-32b-v1|he_last,0.1292,0.0002,0.0327,0.2257,True
gpt-oss-20b|fr_last,qwen3-32b-v1|raw,0.0349,1.0,-0.0616,0.1314,False
gpt-oss-20b|fr_last,qwen3-32b-v1|ru_last,0.1686,0.0,0.0721,0.2651,True
gpt-oss-20b|fr_last,qwen3-32b-v1|sw_last,-0.0371,0.9998,-0.1336,0.0594,False
gpt-oss-20b|fr_last,qwen3-32b-v1|th_last,0.1648,0.0,0.0683,0.2613,True
gpt-oss-20b|fr_last,qwen3-32b-v1|vi_last,0.1637,0.0,0.0672,0.2602,True
gpt-oss-20b|ga_last,gpt-oss-20b|he_last,0.1599,0.0,0.0634,0.2564,True
gpt-oss-20b|ga_last,gpt-oss-20b|raw,-0.0917,0.0907,-0.1882,0.0048,False
gpt-oss-20b|ga_last,gpt-oss-20b|ru_last,0.1808,0.0,0.0843,0.2772,True
gpt-oss-20b|ga_last,gpt-oss-20b|sw_last,0.0621,0.8218,-0.0344,0.1586,False
gpt-oss-20b|ga_last,gpt-oss-20b|th_last,0.1842,0.0,0.0877,0.2807,True
gpt-oss-20b|ga_last,gpt-oss-20b|vi_last,0.2039,0.0,0.1074,0.3004,True
gpt-oss-20b|ga_last,llama3-8b-instruct|eng_last,0.6521,0.0,0.5556,0.7486,True
gpt-oss-20b|ga_last,llama3-8b-instruct|fr_last,0.3911,0.0,0.2946,0.4876,True
gpt-oss-20b|ga_last,llama3-8b-instruct|ga_last,0.2641,0.0,0.1676,0.3606,True
gpt-oss-20b|ga_last,llama3-8b-instruct|he_last,0.4312,0.0,0.3347,0.5277,True
gpt-oss-20b|ga_last,llama3-8b-instruct|raw,0.2766,0.0,0.1801,0.3731,True
gpt-oss-20b|ga_last,llama3-8b-instruct|ru_last,0.4172,0.0,0.3207,0.5137,True
gpt-oss-20b|ga_last,llama3-8b-instruct|sw_last,0.1898,0.0,0.0933,0.2863,True
gpt-oss-20b|ga_last,llama3-8b-instruct|th_last,0.4255,0.0,0.329,0.522,True
gpt-oss-20b|ga_last,llama3-8b-instruct|vi_last,0.3983,0.0,0.3018,0.4948,True
gpt-oss-20b|ga_last,qwen3-32b-v1|eng_last,0.3812,0.0,0.2847,0.4777,True
gpt-oss-20b|ga_last,qwen3-32b-v1|fr_last,0.2922,0.0,0.1957,0.3887,True
gpt-oss-20b|ga_last,qwen3-32b-v1|ga_last,0.0845,0.1981,-0.012,0.181,False
gpt-oss-20b|ga_last,qwen3-32b-v1|he_last,0.274,0.0,0.1775,0.3705,True
gpt-oss-20b|ga_last,qwen3-32b-v1|raw,0.1796,0.0,0.0831,0.2761,True
gpt-oss-20b|ga_last,qwen3-32b-v1|ru_last,0.3134,0.0,0.2169,0.4099,True
gpt-oss-20b|ga_last,qwen3-32b-v1|sw_last,0.1076,0.0102,0.0111,0.2041,True
gpt-oss-20b|ga_last,qwen3-32b-v1|th_last,0.3096,0.0,0.2131,0.4061,True
gpt-oss-20b|ga_last,qwen3-32b-v1|vi_last,0.3085,0.0,0.212,0.4049,True
gpt-oss-20b|he_last,gpt-oss-20b|raw,-0.2516,0.0,-0.3481,-0.1551,True
gpt-oss-20b|he_last,gpt-oss-20b|ru_last,0.0208,1.0,-0.0757,0.1173,False
gpt-oss-20b|he_last,gpt-oss-20b|sw_last,-0.0978,0.0423,-0.1943,-0.0013,True
gpt-oss-20b|he_last,gpt-oss-20b|th_last,0.0243,1.0,-0.0722,0.1207,False
gpt-oss-20b|he_last,gpt-oss-20b|vi_last,0.044,0.9972,-0.0525,0.1405,False
gpt-oss-20b|he_last,llama3-8b-instruct|eng_last,0.4922,0.0,0.3957,0.5887,True
