group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|eng,gpt-oss-20b|eng_mult,-0.0567,0.9969,-0.2779,0.1645,False
gpt-oss-20b|eng,gpt-oss-20b|raw,-0.1674,0.3108,-0.3886,0.0538,False
gpt-oss-20b|eng,gpt-oss-20b|vi_mult,-0.0005,1.0,-0.2217,0.2207,False
gpt-oss-20b|eng,llama3-8b-instruct|eng,0.4833,0.0,0.2621,0.7045,True
gpt-oss-20b|eng,llama3-8b-instruct|raw,0.2082,0.0838,-0.013,0.4294,False
gpt-oss-20b|eng,qwen3-32b-v1|eng,0.378,0.0,0.1568,0.5992,True
gpt-oss-20b|eng,qwen3-32b-v1|eng_mult,0.3284,0.0002,0.1072,0.5496,True
gpt-oss-20b|eng,qwen3-32b-v1|raw,0.1085,0.8428,-0.1127,0.3297,False
gpt-oss-20b|eng_mult,gpt-oss-20b|raw,-0.1107,0.8274,-0.3319,0.1105,False
gpt-oss-20b|eng_mult,gpt-oss-20b|vi_mult,0.0562,0.9971,-0.165,0.2774,False
gpt-oss-20b|eng_mult,llama3-8b-instruct|eng,0.54,0.0,0.3188,0.7612,True
gpt-oss-20b|eng_mult,llama3-8b-instruct|raw,0.2649,0.0065,0.0437,0.4861,True
gpt-oss-20b|eng_mult,qwen3-32b-v1|eng,0.4347,0.0,0.2135,0.6559,True
gpt-oss-20b|eng_mult,qwen3-32b-v1|eng_mult,0.3851,0.0,0.1639,0.6063,True
gpt-oss-20b|eng_mult,qwen3-32b-v1|raw,0.1652,0.3289,-0.056,0.3864,False
gpt-oss-20b|raw,gpt-oss-20b|vi_mult,0.1669,0.3149,-0.0543,0.3881,False
gpt-oss-20b|raw,llama3-8b-instruct|eng,0.6507,0.0,0.4295,0.8719,True
gpt-oss-20b|raw,llama3-8b-instruct|raw,0.3756,0.0,0.1544,0.5968,True
gpt-oss-20b|raw,qwen3-32b-v1|eng,0.5454,0.0,0.3242,0.7666,True
gpt-oss-20b|raw,qwen3-32b-v1|eng_mult,0.4958,0.0,0.2746,0.717,True
gpt-oss-20b|raw,qwen3-32b-v1|raw,0.2759,0.0036,0.0547,0.4971,True
gpt-oss-20b|vi_mult,llama3-8b-instruct|eng,0.4838,0.0,0.2626,0.705,True
gpt-oss-20b|vi_mult,llama3-8b-instruct|raw,0.2087,0.0822,-0.0125,0.4299,False
gpt-oss-20b|vi_mult,qwen3-32b-v1|eng,0.3785,0.0,0.1573,0.5997,True
gpt-oss-20b|vi_mult,qwen3-32b-v1|eng_mult,0.3289,0.0002,0.1077,0.5501,True
gpt-oss-20b|vi_mult,qwen3-32b-v1|raw,0.109,0.8393,-0.1122,0.3302,False
llama3-8b-instruct|eng,llama3-8b-instruct|raw,-0.2751,0.0038,-0.4963,-0.0539,True
llama3-8b-instruct|eng,qwen3-32b-v1|eng,-0.1053,0.8641,-0.3265,0.1159,False
llama3-8b-instruct|eng,qwen3-32b-v1|eng_mult,-0.1549,0.4206,-0.3761,0.0663,False
llama3-8b-instruct|eng,qwen3-32b-v1|raw,-0.3748,0.0,-0.5959,-0.1536,True
llama3-8b-instruct|raw,qwen3-32b-v1|eng,0.1698,0.2917,-0.0514,0.391,False
llama3-8b-instruct|raw,qwen3-32b-v1|eng_mult,0.1202,0.7519,-0.101,0.3414,False
llama3-8b-instruct|raw,qwen3-32b-v1|raw,-0.0997,0.8971,-0.3208,0.1215,False
qwen3-32b-v1|eng,qwen3-32b-v1|eng_mult,-0.0496,0.9988,-0.2708,0.1716,False
qwen3-32b-v1|eng,qwen3-32b-v1|raw,-0.2695,0.0051,-0.4907,-0.0483,True
qwen3-32b-v1|eng_mult,qwen3-32b-v1|raw,-0.2199,0.0528,-0.4411,0.0013,False
