group1,group2,meandiff,p-adj,lower,upper,reject
gpt-oss-20b|Arabic,gpt-oss-20b|Cyrillic,-0.0325,0.9819,-0.1155,0.0505,False
gpt-oss-20b|Arabic,gpt-oss-20b|Hanzi,-0.0438,0.8575,-0.1268,0.0392,False
gpt-oss-20b|Arabic,gpt-oss-20b|Latin,-0.0042,1.0,-0.0872,0.0789,False
gpt-oss-20b|Arabic,llama3-8b-instruct|Arabic,0.279,0.0,0.196,0.362,True
gpt-oss-20b|Arabic,llama3-8b-instruct|Cyrillic,0.2835,0.0,0.2005,0.3665,True
gpt-oss-20b|Arabic,llama3-8b-instruct|Hanzi,0.1504,0.0,0.0674,0.2334,True
gpt-oss-20b|Arabic,llama3-8b-instruct|Latin,0.2729,0.0,0.1899,0.3559,True
gpt-oss-20b|Arabic,qwen3-32b-v1|Arabic,0.2374,0.0,0.1544,0.3205,True
gpt-oss-20b|Arabic,qwen3-32b-v1|Cyrillic,0.2573,0.0,0.1743,0.3403,True
gpt-oss-20b|Arabic,qwen3-32b-v1|Hanzi,0.3233,0.0,0.2403,0.4063,True
gpt-oss-20b|Arabic,qwen3-32b-v1|Latin,0.3043,0.0,0.2213,0.3873,True
gpt-oss-20b|Cyrillic,gpt-oss-20b|Hanzi,-0.0113,1.0,-0.0943,0.0717,False
gpt-oss-20b|Cyrillic,gpt-oss-20b|Latin,0.0283,0.9941,-0.0547,0.1113,False
gpt-oss-20b|Cyrillic,llama3-8b-instruct|Arabic,0.3114,0.0,0.2284,0.3945,True
gpt-oss-20b|Cyrillic,llama3-8b-instruct|Cyrillic,0.316,0.0,0.233,0.399,True
gpt-oss-20b|Cyrillic,llama3-8b-instruct|Hanzi,0.1829,0.0,0.0999,0.2659,True
gpt-oss-20b|Cyrillic,llama3-8b-instruct|Latin,0.3054,0.0,0.2224,0.3884,True
gpt-oss-20b|Cyrillic,qwen3-32b-v1|Arabic,0.2699,0.0,0.1869,0.3529,True
gpt-oss-20b|Cyrillic,qwen3-32b-v1|Cyrillic,0.2897,0.0,0.2067,0.3727,True
gpt-oss-20b|Cyrillic,qwen3-32b-v1|Hanzi,0.3558,0.0,0.2728,0.4388,True
gpt-oss-20b|Cyrillic,qwen3-32b-v1|Latin,0.3367,0.0,0.2537,0.4197,True
gpt-oss-20b|Hanzi,gpt-oss-20b|Latin,0.0396,0.9231,-0.0434,0.1227,False
gpt-oss-20b|Hanzi,llama3-8b-instruct|Arabic,0.3228,0.0,0.2398,0.4058,True
gpt-oss-20b|Hanzi,llama3-8b-instruct|Cyrillic,0.3273,0.0,0.2443,0.4103,True
gpt-oss-20b|Hanzi,llama3-8b-instruct|Hanzi,0.1942,0.0,0.1112,0.2772,True
gpt-oss-20b|Hanzi,llama3-8b-instruct|Latin,0.3167,0.0,0.2337,0.3997,True
gpt-oss-20b|Hanzi,qwen3-32b-v1|Arabic,0.2812,0.0,0.1982,0.3643,True
gpt-oss-20b|Hanzi,qwen3-32b-v1|Cyrillic,0.3011,0.0,0.218,0.3841,True
gpt-oss-20b|Hanzi,qwen3-32b-v1|Hanzi,0.3671,0.0,0.2841,0.4501,True
gpt-oss-20b|Hanzi,qwen3-32b-v1|Latin,0.3481,0.0,0.265,0.4311,True
gpt-oss-20b|Latin,llama3-8b-instruct|Arabic,0.2831,0.0,0.2001,0.3661,True
