qid,lang,jaccard_eng,size_eng,size_lang,intersection_size,union_size
2082,ar,0.0,10,11,0,21
2082,fr,0.13636363636363635,10,15,3,22
2082,ga,0.05,10,11,1,20
2082,he,0.0,10,9,0,19
2082,hi,0.0,10,21,0,31
2082,ru,0.0,10,10,0,20
2082,sw,0.0,10,12,0,22
2082,th,0.0,10,11,0,21
2082,vi,0.0,10,13,0,23
2082,zh,0.0,10,16,0,26
23287,ar,0.0,6,11,0,17
23287,fr,0.0,6,14,0,20
23287,ga,0.0,6,11,0,17
23287,he,0.0,6,9,0,15
23287,hi,0.0,6,17,0,23
23287,ru,0.0,6,10,0,16
23287,sw,0.0,6,10,0,16
23287,th,0.0,6,12,0,18
23287,vi,0.0,6,19,0,25
23287,zh,0.0,6,15,0,21
30611,ar,0.0,4,5,0,9
30611,fr,0.0,4,8,0,12
30611,ga,0.1111111111111111,4,6,1,9
30611,he,0.0,4,5,0,9
30611,hi,0.0,4,9,0,13
30611,ru,0.0,4,7,0,11
30611,sw,0.0,4,6,0,10
30611,th,0.0,4,6,0,10
30611,vi,0.0,4,10,0,14
30611,zh,0.0,4,9,0,13
112700,ar,0.0,4,4,0,8
112700,fr,0.125,4,5,1,8
112700,ga,0.3333333333333333,4,4,2,6
112700,he,0.0,4,6,0,10
112700,hi,0.0,4,11,0,15
112700,ru,0.0,4,4,0,8
112700,sw,0.14285714285714285,4,4,1,7
112700,th,0.0,4,5,0,9
112700,vi,0.0,4,9,0,13
112700,zh,0.07692307692307693,4,10,1,13
168329,ar,0.0,10,14,0,24
168329,fr,0.08333333333333333,10,16,2,24
168329,ga,0.0,10,13,0,23
168329,he,0.0,10,13,0,23
168329,hi,0.0,10,21,0,31
168329,ru,0.0,10,12,0,22
168329,sw,0.0,10,13,0,23
168329,th,0.0,10,15,0,25
168329,vi,0.08695652173913043,10,15,2,23
168329,zh,0.0,10,19,0,29
190623,ar,0.0,5,6,0,11
190623,fr,0.3333333333333333,5,7,3,9
190623,ga,0.3333333333333333,5,7,3,9
190623,he,0.0,5,6,0,11
190623,hi,0.0,5,14,0,19
190623,ru,0.0,5,5,0,10
190623,sw,0.375,5,6,3,8
190623,th,0.0,5,13,0,18
190623,vi,0.2727272727272727,5,9,3,11
190623,zh,0.0,5,12,0,17
226975,ar,0.05555555555555555,9,10,1,18
226975,fr,0.05263157894736842,9,11,1,19
226975,ga,0.05263157894736842,9,11,1,19
226975,he,0.0,9,7,0,16
226975,hi,0.0,9,18,0,27
226975,ru,0.0,9,11,0,20
226975,sw,0.05555555555555555,9,10,1,18
226975,th,0.058823529411764705,9,9,1,17
226975,vi,0.043478260869565216,9,15,1,23
226975,zh,0.0,9,14,0,23
237669,ar,0.0625,7,10,1,16
