language,model,FP,FN
ar_distraction_qp_rem,gpt-oss-20b,19,6
ar_instruct_instruct_rem,gpt-oss-20b,17,6
ar_qp_rem,gpt-oss-20b,18,6
ar_var_qp_rem,gpt-oss-20b,18,6
eng_distraction_qp_rem,gpt-oss-20b,22,5
eng_instruct_instruct_rem,gpt-oss-20b,24,6
eng_qp_rem,gpt-oss-20b,18,5
eng_var_qp_rem,gpt-oss-20b,20,5
fr_instruct_instruct_rem,gpt-oss-20b,17,6
fr_var_qp_rem,gpt-oss-20b,18,5
ga_distraction_qp_rem,gpt-oss-20b,17,8
ga_instruct_instruct_rem,gpt-oss-20b,17,5
ga_qp_rem,gpt-oss-20b,17,7
ga_var_qp_rem,gpt-oss-20b,18,6
he_distraction_qp_rem,gpt-oss-20b,17,6
he_instruct_instruct_rem,gpt-oss-20b,16,7
he_qp_rem,gpt-oss-20b,18,6
he_var_qp_rem,gpt-oss-20b,18,6
hi_instruct_instruct_rem,gpt-oss-20b,16,6
hi_var_qp_rem,gpt-oss-20b,17,5
raw,gpt-oss-20b,19,4
ru_distraction_qp_rem,gpt-oss-20b,20,5
ru_instruct_instruct_rem,gpt-oss-20b,17,7
ru_qp_rem,gpt-oss-20b,18,6
ru_var_qp_rem,gpt-oss-20b,18,6
sw_distraction_qp_rem,gpt-oss-20b,18,6
sw_instruct_instruct_rem,gpt-oss-20b,17,6
sw_qp_rem,gpt-oss-20b,18,7
sw_var_qp_rem,gpt-oss-20b,17,5
th_distraction_qp_rem,gpt-oss-20b,20,6
th_instruct_instruct_rem,gpt-oss-20b,18,5
th_qp_rem,gpt-oss-20b,17,5
th_var_qp_rem,gpt-oss-20b,18,5
vi_distraction_qp_rem,gpt-oss-20b,20,6
vi_instruct_instruct_rem,gpt-oss-20b,17,6
vi_qp_rem,gpt-oss-20b,17,6
vi_var_qp_rem,gpt-oss-20b,18,6
zh_instruct_instruct_rem,gpt-oss-20b,17,6
zh_var_qp_rem,gpt-oss-20b,17,6
ar_distraction_qp_rem,qwen3-32b-v1,33,3
ar_instruct_instruct_rem,qwen3-32b-v1,26,4
ar_qp_rem,qwen3-32b-v1,25,3
ar_var_qp_rem,qwen3-32b-v1,26,4
eng_distraction_qp_rem,qwen3-32b-v1,35,2
eng_instruct_instruct_rem,qwen3-32b-v1,28,4
eng_qp_rem,qwen3-32b-v1,27,3
eng_var_qp_rem,qwen3-32b-v1,31,3
fr_instruct_instruct_rem,qwen3-32b-v1,27,3
fr_var_qp_rem,qwen3-32b-v1,27,3
ga_distraction_qp_rem,qwen3-32b-v1,28,4
ga_instruct_instruct_rem,qwen3-32b-v1,26,3
ga_qp_rem,qwen3-32b-v1,28,4
ga_var_qp_rem,qwen3-32b-v1,28,4
he_distraction_qp_rem,qwen3-32b-v1,27,4
he_instruct_instruct_rem,qwen3-32b-v1,26,5
he_qp_rem,qwen3-32b-v1,27,4
he_var_qp_rem,qwen3-32b-v1,27,4
hi_instruct_instruct_rem,qwen3-32b-v1,26,5
hi_var_qp_rem,qwen3-32b-v1,26,4
raw,qwen3-32b-v1,25,3
ru_distraction_qp_rem,qwen3-32b-v1,32,2
ru_instruct_instruct_rem,qwen3-32b-v1,26,5
ru_qp_rem,qwen3-32b-v1,26,4
ru_var_qp_rem,qwen3-32b-v1,25,3
sw_distraction_qp_rem,qwen3-32b-v1,29,3
sw_instruct_instruct_rem,qwen3-32b-v1,27,3
sw_qp_rem,qwen3-32b-v1,27,4
sw_var_qp_rem,qwen3-32b-v1,27,4
th_distraction_qp_rem,qwen3-32b-v1,31,3
th_instruct_instruct_rem,qwen3-32b-v1,26,3
th_qp_rem,qwen3-32b-v1,26,4
th_var_qp_rem,qwen3-32b-v1,25,3
vi_distraction_qp_rem,qwen3-32b-v1,33,2
vi_instruct_instruct_rem,qwen3-32b-v1,26,4
vi_qp_rem,qwen3-32b-v1,26,4
vi_var_qp_rem,qwen3-32b-v1,27,3
zh_instruct_instruct_rem,qwen3-32b-v1,26,4
zh_var_qp_rem,qwen3-32b-v1,26,3
