lang,taxonomy
eng, 5
ru, 5
fr, 5
ar, 5
he, 4
vi, 4
th, 3
sw, 2
ga, 2
zh, 5
hi, 4
uk, 3
el, 3
ha, 2

eng_crit, 5
ru_crit, 5
fr_crit, 5
ar_crit, 5
he_crit, 4
vi_crit, 4
th_crit, 3
sw_crit, 2
ga_crit, 2
zh_crit, 5
eng_word, 5
ru_word, 5
fr_word, 5
ar_word, 5
he_word, 4
vi_word, 4
th_word, 3
sw_word, 2
ga_word, 2
zh_word, 5
he_crit, 4

eng_first, 5
ru_first, 5 
fr_first, 5
ar_first, 5
he_first, 4
vi_first, 4
th_first, 3
sw_first, 2
ga_first, 2
zh_first, 5
hi_first, 4

eng_last, 5
ru_last, 5 
fr_last, 5
ar_last, 5
he_last, 4
vi_last, 4
th_last, 3
sw_last, 2
ga_last, 2
zh_last, 5
hi_last, 4

ru_corrected, 5
ar_corrected, 5
he_corrected, 4
vi_corrected, 4
th_corrected, 3
sw_corrected, 2
ga_corrected, 2
zh_corrected, 5
