run_id,timestamp,model,num_examples,input_tokens,output_tokens,total_tokens,labels_csv,log_json
20251002_110132,2025-10-02T13:04:06,openai.gpt-oss-20b-1:0,9260,3869153,2633699,6502852,outputs\llm_label\trec_dl_2019_raw.csv,logs\20251002_110132_llm_logs_index_openai.gpt-oss-20b-1_0.json
20251002_212931,2025-10-02T21:29:32,openai.gpt-oss-20b-1:0,0,0,0,0,outputs\llm_label\trec_dl_2019_raw.csv,logs\20251002_212931_llm_responses_openai.gpt-oss-20b-1_0_all_topics_trecdl_2019_part1.json
20251002_215356,2025-10-02T21:54:29,openai.gpt-oss-20b-1:0,127,0,0,0,D:\Work\Research_Project\anaconda_research_project\outputs\llm_label\trec_dl_2019_raw.csv,D:\Work\Research_Project\anaconda_research_project\logs\20251002_215356_llm_responses_openai.gpt-oss-20b-1_0_missing_or_unjudged_formatted.json
20251002_220054,2025-10-02T22:01:32,openai.gpt-oss-20b-1:0,127,0,0,0,D:\Work\Research_Project\anaconda_research_project\outputs\llm_label\gpt_oss_20b_trec_dl_2019_raw.csv,D:\Work\Research_Project\anaconda_research_project\logs\20251002_220054_llm_responses_openai.gpt-oss-20b-1_0_missing_or_unjudged_formatted.json
20251002_220206,2025-10-02T22:06:15,openai.gpt-oss-20b-1:0,127,51471,47299,98770,D:\Work\Research_Project\anaconda_research_project\outputs\llm_label\gpt_oss_20b_trec_dl_2019_raw.csv,D:\Work\Research_Project\anaconda_research_project\logs\20251002_220206_llm_responses_openai.gpt-oss-20b-1_0_missing_or_unjudged_formatted.json
20251003_002828,2025-10-03T00:33:02,openai.gpt-oss-20b-1:0,127,51471,53269,104740,D:\Work\Research_Project\anaconda_research_project\outputs\llm_label\trec_dl_2019_raw.csv,D:\Work\Research_Project\anaconda_research_project\logs\20251003_002828_llm_responses_openai.gpt-oss-20b-1_0_missing_or_unjudged_formatted.json
20251005_001049,2025-10-05T00:50:45,openai.gpt-oss-20b-1:0,7218,3543831,2042300,5586131,0.000000,outputs\llm_label\trec_dl_2023_raw.csv,logs\20251005_001049_llm_logs_index_openai.gpt-oss-20b-1_0.json
20251011_212644,2025-10-11T21:29:23,openai.gpt-oss-20b-1:0,81,32304,26905,59209,D:\Work\Research_Project\anaconda_research_project\outputs\llm_label\trec_dl_2023_irrelevant.csv,D:\Work\Research_Project\anaconda_research_project\logs\20251011_212644_llm_responses_openai.gpt-oss-20b-1_0_trec_dl_2023_expanded_queries.json
20251016_002627,2025-10-16T00:26:31,openai.gpt-oss-20b-1:0,7,0,0,0,D:\Work\Research_Project\anaconda_research_project\outputs\llm_label\trec_dl_2023_expanded_queries.csv,D:\Work\Research_Project\anaconda_research_project\logs\20251016_002627_llm_responses_openai.gpt-oss-20b-1_0_trec_dl_2023_expanded_queries.json
20251016_003943,2025-10-16T00:39:45,openai.gpt-oss-20b-1:0,3,0,0,0,D:\Work\Research_Project\anaconda_research_project\outputs\llm_label\trec_dl_2023_expanded_queries.csv,D:\Work\Research_Project\anaconda_research_project\logs\20251016_003943_llm_responses_openai.gpt-oss-20b-1_0_trec_dl_2023_expanded_queries.json
